umap1,umap2,cell_type,sample,annotation_source
3.3788257,12.3709545,Regulatory CD8 T,E14S,transferred
-6.070965,2.4380364,Il1b+ TAM,E14S,transferred
-3.717018,4.225734,Il1b+ TAM,E14S,transferred
-4.0717216,6.6447363,Resident Macrophage,E14S,transferred
0.11456282,4.5987124,cDC,E14S,transferred
-3.667113,6.803029,C1qc+ TAM,E14S,transferred
1.2689537,13.728957,NK,E14S,transferred
-3.7289484,5.39167,C1qc+ TAM,E14S,transferred
0.34764323,-8.34545,Neutrophil,E14S,transferred
-4.575343,5.1134796,C1qc+ TAM,E14S,transferred
16.416443,7.4356613,Hypoxic Tumor,E14S,transferred
1.8253387,6.943967,mDC,E14S,transferred
0.47089383,-6.470733,Neutrophil,E14S,transferred
0.25874922,-8.098168,Neutrophil,E14S,transferred
16.368555,7.6706953,Hypoxic Tumor,E14S,transferred
3.1229599,12.622025,CD8 Terminally Exhausted,E14S,transferred
16.764284,8.0437155,Hypoxic Tumor,E14S,transferred
3.1491933,11.803191,CD8 Terminally Exhausted,E14S,transferred
-4.1397285,5.1395574,Monocyte,E14S,transferred
1.968905,14.9396305,NK,E14S,transferred
-1.3709681,2.3001745,Monocyte,E14S,transferred
-1.3160747,3.8201187,Resident Macrophage,E14S,transferred
-0.1728378,-6.8731675,Neutrophil,E14S,transferred
-1.588311,3.2339494,Monocyte,E14S,transferred
-6.283238,4.8998976,C1qc+ TAM,E14S,transferred
-2.2050548,1.6811585,Monocyte,E14S,transferred
-3.5164845,3.4940236,Il1b+ TAM,E14S,transferred
0.3311096,1.1749245,Monocyte,E14S,transferred
0.3953823,0.8314302,Monocyte,E14S,transferred
-0.3856624,-8.36286,Neutrophil,E14S,transferred
19.024591,6.997815,Hypoxic Tumor,E14S,transferred
-1.0888972,1.9149609,Monocyte,E14S,transferred
-4.0454745,0.7541321,Spp1+ TAM,E14S,transferred
-2.9911234,5.0780373,C1qc+ TAM,E14S,transferred
17.284376,7.4779415,Hypoxic Tumor,E14S,transferred
-3.7546604,5.4329658,Monocyte,E14S,transferred
2.5138967,7.5761514,mDC,E14S,transferred
-5.4984126,4.517237,C1qc+ TAM,E14S,transferred
0.5693285,1.0800433,Monocyte,E14S,transferred
