celltype,gate,n,local_enter,local_exit,local_persist,exit_over_enter,front_local
CD8,ALL,191,0.039965095986038396,0.031588132635253056,0.020418848167539267,0.7903930131004367,0.021617366905660372
CD8,E14S,166,0.03855421686746988,0.03132530120481928,0.019879518072289156,0.8125,0.021107535383869194
CD8,E15S,25,0.04933333333333333,0.03333333333333333,0.024,0.6756756756756757,0.025002648210353823
Neutrophil,ALL,1512,0.04638447971781305,0.038558201058201055,0.02072310405643739,0.831273764258555,0.029198638926791795
Neutrophil,E14S,428,0.044626168224299066,0.0381619937694704,0.018613707165109034,0.8551483420593368,0.027520911526652717
Neutrophil,E15S,1084,0.04707872078720787,0.03871463714637147,0.021555965559655596,0.8223383409536251,0.029861062660426037
SPP1_TAM,ALL,714,0.039355742296918766,0.03926237161531279,0.021101774042950515,0.9976275207591934,0.026132512513771734
SPP1_TAM,E14S,245,0.040680272108843535,0.03877551020408163,0.02095238095238095,0.9531772575250836,0.026430751567112647
SPP1_TAM,E15S,469,0.038663823738450606,0.03951670220326937,0.021179815209665956,1.0220588235294117,0.025976715993369766
C1qc_TAM,ALL,1573,0.03714770078406442,0.03168044077134986,0.01627463445645264,0.8528237307472903,0.020706019562355866
C1qc_TAM,E14S,480,0.03756944444444445,0.03194444444444444,0.014583333333333334,0.8502772643253234,0.02066453835396922
C1qc_TAM,E15S,1093,0.03696248856358646,0.03156450137236962,0.017017383348581886,0.8539603960396039,0.02072423637848175
NK,ALL,343,0.04227405247813411,0.0369290573372206,0.020505344995140912,0.8735632183908046,0.02624195067006537
NK,E14S,185,0.0409009009009009,0.03657657657657658,0.01891891891891892,0.894273127753304,0.02568702813053362
NK,E15S,158,0.04388185654008439,0.03734177215189873,0.022362869198312235,0.8509615384615383,0.02689170174483357
CAF,ALL,343,0.05063168124392614,0.041690962099125366,0.023517978620019437,0.8234165067178504,0.03233819556141457
CAF,E15S,334,0.05099800399201597,0.042015968063872255,0.023952095808383235,0.8238747553816047,0.03266572281279169
