zone,celltype,n_zone,n_immune_in_zone,density,background,enrichment,p
front_ribbon,CD8,1770,18,0.010169491525423728,0.015774694416914436,0.6446712219362853,0.022
front_ribbon,Neutrophil,1770,285,0.16101694915254236,0.12487611496531219,1.2894135055152003,0.0
front_ribbon,Spp1_TAM,1770,119,0.0672316384180791,0.058969276511397425,1.1401129943502823,0.04
front_ribbon,C1qc_TAM,1770,177,0.1,0.12991410637594977,0.7697393515575335,0.0
front_ribbon,Il1b_TAM,1770,124,0.07005649717514124,0.09786917740336967,0.7158177787313166,0.0
front_ribbon,NK,1770,49,0.02768361581920904,0.02832837793194582,0.9772397094430992,0.494
front_ribbon,CAF,1770,75,0.0423728813559322,0.02832837793194582,1.4957750654741315,0.0
front_ribbon,Monocyte,1770,209,0.11807909604519774,0.13751238850346878,0.8586796966457984,0.002
hypoxic_core_field,CD8,3468,49,0.014129181084198385,0.015774694416914436,0.8956865160600737,0.19
hypoxic_core_field,Neutrophil,3468,505,0.14561707035755478,0.12487611496531219,1.166092253895022,0.0
hypoxic_core_field,Spp1_TAM,3468,194,0.05594002306805075,0.058969276511397425,0.9486299710195497,0.206
hypoxic_core_field,C1qc_TAM,3468,346,0.09976931949250288,0.12991410637594977,0.7679637129149555,0.0
hypoxic_core_field,Il1b_TAM,3468,291,0.08391003460207612,0.09786917740336967,0.8573693662126056,0.0
hypoxic_core_field,NK,3468,120,0.03460207612456748,0.02832837793194582,1.2214633752660728,0.008
hypoxic_core_field,CAF,3468,122,0.03517877739331027,0.02832837793194582,1.241821098187174,0.0
hypoxic_core_field,Monocyte,3468,459,0.1323529411764706,0.13751238850346878,0.9624801271860095,0.184
enter_field,CD8,4446,62,0.013945119208277103,0.015774694416914436,0.8840183422713046,0.124
enter_field,Neutrophil,4446,629,0.14147548358074674,0.12487611496531219,1.1329266899442338,0.0
enter_field,Spp1_TAM,4446,245,0.05510571300044984,0.058969276511397425,0.9344817549151914,0.104
enter_field,C1qc_TAM,4446,506,0.1138101664417454,0.12991410637594977,0.8760416371752405,0.0
enter_field,Il1b_TAM,4446,387,0.08704453441295547,0.09786917740336967,0.8893968123814893,0.0
enter_field,NK,4446,120,0.02699055330634278,0.02832837793194582,0.9527744006798787,0.302
enter_field,CAF,4446,150,0.033738191632928474,0.02832837793194582,1.1909680008498482,0.004
enter_field,Monocyte,4446,580,0.13045434098065678,0.13751238850346878,0.9486733697260014,0.032
exit_field,CD8,3593,44,0.01224603395491233,0.015774694416914436,0.776308791236013,0.016
exit_field,Neutrophil,3593,476,0.13247982187586974,0.12487611496531219,1.060890002164703,0.068
exit_field,Spp1_TAM,3593,236,0.0656832730308934,0.058969276511397425,1.113855840137335,0.026
exit_field,C1qc_TAM,3593,400,0.11132758140829391,0.12991410637594977,0.8569322032368867,0.002
exit_field,Il1b_TAM,3593,300,0.08349568605622043,0.09786917740336967,0.8531356681592548,0.0
exit_field,NK,3593,96,0.026718619537990537,0.02832837793194582,0.9431750593760624,0.29
exit_field,CAF,3593,131,0.03645978291121625,0.02832837793194582,1.2870409664402518,0.0
exit_field,Monocyte,3593,466,0.1296966323406624,0.13751238850346878,0.9431632578863305,0.042
normoxic_field,CD8,4757,78,0.016396888795459322,0.015774694416914436,1.039442563012678,0.384
normoxic_field,Neutrophil,4757,607,0.12760142947235653,0.12487611496531219,1.0218241455365693,0.274
normoxic_field,Spp1_TAM,4757,273,0.05738911078410763,0.058969276511397425,0.9732035761540269,0.302
normoxic_field,C1qc_TAM,4757,576,0.12108471725877654,0.12991410637594977,0.9320367174629793,0.004
normoxic_field,Il1b_TAM,4757,466,0.09796089972671852,0.09786917740336967,1.000937193157053,0.52
normoxic_field,NK,4757,127,0.026697498423376077,0.02832837793194582,0.9424294778724127,0.206
normoxic_field,CAF,4757,137,0.02879966365356317,0.02832837793194582,1.0166365233741774,0.416
normoxic_field,Monocyte,4757,692,0.14546983392894683,0.13751238850346878,1.0578671166436566,0.014
