sample,n_persist,n_enter,n_exit,median_dist_to_exit,median_dist_to_enter,frac_closer_to_exit,frac_closer_to_enter,p_paired_exit_vs_enter,median_front_persist,median_front_enter,median_front_exit,p_front_persist_vs_enter,frac_persist_on_front_top20,frac_enter_on_front_top20,frac_exit_on_front_top20,front_top20_threshold,median_abs_polarity_persist,median_abs_polarity_enter,frac_both_neighbors,enr_deep_exit,enr_enter_exit,contact_deep_exit,contact_enter_exit,mean_front_score
E14S,33,79,50,1.5265775068503469,1.2214157839494533,0.45454545454545453,0.5454545454545454,0.24908834253437817,0.0,0.0,0.0,0.05600315843495855,0.06060606060606061,0.0759493670886076,0.12,0.04714045207910317,0.03333333333333333,0.03333333333333333,0.12121212121212122,0.8254222222222222,1.1362616033755275,0.26666666666666666,0.3037974683544304,0.004888577869985217
E15S,212,428,379,0.4006400274137546,0.40489214154749176,0.5094339622641509,0.49056603773584906,0.9207193935004697,0.04714045207910317,0.06666666666666667,0.06666666666666667,2.283540505113068e-07,0.2169811320754717,0.37616822429906543,0.37467018469656993,0.08164965809277261,0.03333333333333333,0.03333333333333334,0.6226415094339622,1.1414569932341156,1.0906745493551648,0.8300653594771242,0.7920560747663551,0.04140003005808612
OVERLAY,245,507,429,0.3850450161780546,0.40073228309498315,0.49387755102040815,0.5061224489795918,0.6489403382541328,0.03333333333333333,0.04714045207910317,0.04714045207910317,1.607412486473893e-05,0.17551020408163265,0.3333333333333333,0.34965034965034963,0.06666666666666667,0.03333333333333333,0.03333333333333334,0.5428571428571428,1.2207903207903208,1.1356312326726528,0.7202380952380952,0.6410256410256411,0.025483830337698354
