sample,pair,enrichment,p_perm
E14S,deep → exit,2.850335715832792,0.0024937655860349
E14S,exit → deep,3.3063894303660386,0.0024937655860349
E14S,enter → exit,1.711609002692679,0.0024937655860349
E14S,persist → exit,1.684865112025606,0.0024937655860349
E14S,enter → deep,2.280268572666233,0.0024937655860349
E14S,normoxic → exit,0.8665020576131687,0.7206982543640897
E15S,deep → exit,1.167901234567901,0.0024937655860349
E15S,exit → deep,1.183514887436456,0.0024937655860349
E15S,enter → exit,1.00881142580489,0.8254364089775561
E15S,persist → exit,1.08284854230072,0.0947630922693266
E15S,enter → deep,1.1370370370370368,0.0423940149625935
E15S,normoxic → exit,1.0023608936603792,0.9875311720698254
