sample,contact_obs_contact_frac,contact_null_mean,contact_p
E14S,0.08860759493670886,0.08272151898734177,0.456359102244389
E15S,0.3644859813084112,0.36320093457943925,0.4937655860349127
OVERLAY,0.3629191321499014,0.35469921104536495,0.3690773067331671
