sample,query,anchor,median_dist,bg_median_dist,ratio_vs_bg,p_vs_bg,n_query,n_anchor
E14S,entering,Spp1_TAM,0.9601961937400973,0.850908471710259,1.1284365189245074,0.0029145342372860245,100,260
E14S,entering,C1qc_TAM,0.6570263191895489,0.4608415284560059,1.425709877733538,0.0060362104972854535,100,525
E14S,entering,Il1b_TAM,0.42143719275362845,0.3396242683336959,1.240892456894593,0.030339082368678875,100,850
E14S,entering,Neutrophil,0.5641418270559149,0.531692666168763,1.0610299200118218,0.11238945153067477,100,495
E14S,entering,CAF,4.110408884280642,3.6465040726921707,1.1272190575797099,0.0417712285302413,100,10
E14S,entering,Stromal,2.6874649632829275,2.207927514024998,1.2171889458380563,0.0051116640864268224,100,30
E14S,entering,CD8_exh,1.115381663740005,0.9296457578147586,1.1997921298128014,0.0012162557277321407,100,198
E14S,entering,NK,0.7684571428984048,0.8591587878009691,0.8944297070687985,0.2718058477631571,100,253
E14S,entering,Monocyte,0.31492136297582196,0.2781776614609025,1.1320871752316595,0.011102066355703677,100,1163
E14S,entering,Hypoxic_Tumor,0.852178680634718,0.9483323808911922,0.8986075956131393,0.11422522844489214,49,226
E14S,entering,Tumor,1.0375930354390215,1.0183126998377117,1.0189336100830153,0.87674787404864,51,155
E14S,entering,hypoxic_core_dyn,1.6141004383092306,1.6769341627108396,0.9625305955362997,0.3372213333693074,81,64
E14S,entering,exit_front,1.166702882032256,1.3047001437909598,0.8942306686977619,0.22223404595825913,100,81
E14S,entering,enter_front,0.0,1.2999711468098611,0.0,5.907961907728734e-66,100,100
E14S,entering_deep,Spp1_TAM,1.0162260293736514,0.8540479449900711,1.1898934191399122,0.04122147409224004,19,260
E14S,entering_deep,C1qc_TAM,0.5827801027935853,0.4618491447388996,1.2618408184409489,0.21402598260990602,19,525
E14S,entering_deep,Il1b_TAM,0.4157742086638354,0.34174284157391177,1.2166288743575986,0.24317203767542173,19,850
E14S,entering_deep,Neutrophil,0.9417298757125794,0.5315824133860996,1.7715595023430186,0.007712513051020023,19,495
E14S,entering_deep,CAF,8.20157558436104,3.6487763124858295,2.247760586554973,0.00042793739979508016,19,10
E14S,entering_deep,Stromal,3.1722985797855,2.2084185033512207,1.4364571637901127,0.08058163499070184,19,30
E14S,entering_deep,CD8_exh,1.2388117595096473,0.9322008037931222,1.3289108467498914,0.0654311985671389,19,198
E14S,entering_deep,NK,0.5633351147973633,0.8584156973133583,0.6562497826641234,0.5004808304539745,19,253
E14S,entering_deep,Monocyte,0.37397522064124533,0.27823379450362207,1.344104231868846,0.021416715827371684,19,1163
E14S,entering_deep,Hypoxic_Tumor,0.0,0.9469430650716166,0.0,5.4611429142516575e-12,19,226
E14S,entering_deep,Tumor,0.9274143108265342,1.018447624757213,0.9106156156509472,0.6586351384337377,16,155
E14S,entering_deep,hypoxic_core_dyn,0.0,1.6767031373394543,0.0,4.872836648711248e-14,19,64
E14S,entering_deep,exit_front,1.1111377146281223,1.3038262987872482,0.8522129946770096,0.988664116021627,19,81
E14S,entering_deep,enter_front,0.0,1.2999711468098611,0.0,4.8766157937044376e-14,19,100
E14S,persistent,Spp1_TAM,0.9524414293806795,0.8521851563951591,1.117646115087965,0.12374105892052553,45,260
E14S,persistent,C1qc_TAM,0.4494650300596154,0.46211467258984296,0.9726266156853779,0.9073125573242415,45,525
E14S,persistent,Il1b_TAM,0.4455399728052877,0.34129757698843366,1.3054296392511064,0.20636776004575297,45,850
E14S,persistent,Neutrophil,0.4853978412295803,0.5325341318396563,0.911486817854769,0.754340736672084,45,495
E14S,persistent,CAF,4.081241959720265,3.648390823081354,1.1186416580977292,0.1679408014112701,45,10
E14S,persistent,Stromal,2.44735536927841,2.208645803151959,1.1080796050619746,0.2574328226313036,45,30
E14S,persistent,CD8_exh,1.1218943270177617,0.9322008037931222,1.2034899803269608,0.12661006066146277,45,198
E14S,persistent,NK,1.0396548967452095,0.8566556747833158,1.2136205097902162,0.008928579790504267,45,253
E14S,persistent,Monocyte,0.3181474175515884,0.27823379450362334,1.1434535410019908,0.18057171483540058,45,1163
E14S,persistent,Hypoxic_Tumor,0.0,0.9469011911648844,0.0,1.1429939457961287e-25,45,226
