from,to,median_dist,n_from,sample
normoxic_stable,normoxic_stable,1.2036156773851865,20,E14S
normoxic_stable,exiting_hypoxia,1.378041005672091,20,E14S
normoxic_stable,persistent_hypoxia,2.263585984546701,20,E14S
normoxic_stable,entering_hypoxia,1.1055950430967139,20,E14S
normoxic_stable,entering_deep_hypoxia,4.04312742037086,20,E14S
exiting_hypoxia,normoxic_stable,3.492924208743363,81,E14S
exiting_hypoxia,exiting_hypoxia,1.4233788263849532,81,E14S
exiting_hypoxia,persistent_hypoxia,1.7741994904132568,81,E14S
exiting_hypoxia,entering_hypoxia,1.1956699887024258,81,E14S
exiting_hypoxia,entering_deep_hypoxia,3.0715476451249915,81,E14S
persistent_hypoxia,normoxic_stable,3.834524807963489,45,E14S
persistent_hypoxia,exiting_hypoxia,1.12811925805603,45,E14S
persistent_hypoxia,persistent_hypoxia,1.484483859576721,45,E14S
persistent_hypoxia,entering_hypoxia,1.4022422064608244,45,E14S
persistent_hypoxia,entering_deep_hypoxia,4.102578852978086,45,E14S
entering_hypoxia,normoxic_stable,3.00098499142165,81,E14S
entering_hypoxia,exiting_hypoxia,1.1714230965419559,81,E14S
entering_hypoxia,persistent_hypoxia,1.9968428995888796,81,E14S
entering_hypoxia,entering_hypoxia,1.5182980327801756,81,E14S
entering_hypoxia,entering_deep_hypoxia,3.3807457387598685,81,E14S
entering_deep_hypoxia,normoxic_stable,4.768589591132536,19,E14S
entering_deep_hypoxia,exiting_hypoxia,1.1111377146281223,19,E14S
entering_deep_hypoxia,persistent_hypoxia,2.577836079472894,19,E14S
entering_deep_hypoxia,entering_hypoxia,1.0375930354390215,19,E14S
entering_deep_hypoxia,entering_deep_hypoxia,2.9630774799853494,19,E14S
