cell,median_dist_to_core,bg_median_dist,dist_ratio_vs_bg,p_dist,core_neighbor_enrichment,p_enrich,n,sample,core_def
Il1b_TAM,1.6179345603551893,1.6854202551643556,0.9599591291238011,0.2585985454559965,0.8579803921568628,0.05189620758483034,850,E14S,persistent+enter_deep
Resident_Macrophage,1.6295733002415185,1.6799017360654127,0.9700408453998202,0.5596049953670883,1.0058185404339253,0.9500998003992016,676,E14S,persistent+enter_deep
Spp1_TAM,1.662581731802843,1.6772056934856865,0.9912807583830395,0.9581029049871788,1.0650320512820513,0.590818363273453,260,E14S,persistent+enter_deep
Neutrophil,1.6755947226239323,1.6767846040412089,0.9992903790895927,0.8296405283201422,0.9858922558922558,0.8842315369261478,495,E14S,persistent+enter_deep
Monocyte,1.716779193568057,1.6653664512230897,1.0308717293465401,0.5391785524412129,0.9217469188879336,0.16766467065868262,1163,E14S,persistent+enter_deep
CD8_exhausted,1.7260948320337084,1.670442101775453,1.0333161683359777,0.19708919363847288,0.9277356902356902,0.5688622754491018,198,E14S,persistent+enter_deep
C1qc_TAM,1.762403867144366,1.6704153433184488,1.0550692522035703,0.26154351760077277,0.8825555555555555,0.1377245508982036,525,E14S,persistent+enter_deep
NK,1.8180802813231836,1.670468860232457,1.0883652635525245,0.25759223636816375,0.8994400527009223,0.3712574850299401,253,E14S,persistent+enter_deep
Resident_Macrophage,0.8938298199310013,0.9536048051537471,0.9373168162537641,0.0039402260125103086,0.9624618177375154,0.27944111776447106,676,E14S,Hypoxic_Tumor_annot
Il1b_TAM,0.9177274904498094,0.9555929310758309,0.9603749259808865,0.0882341500409445,0.8677424952281797,0.001996007984031936,850,E14S,Hypoxic_Tumor_annot
NK,0.9595531562081646,0.9456538990954971,1.014698038178621,0.7125154948626025,1.071003999207154,0.2275449101796407,253,E14S,Hypoxic_Tumor_annot
Monocyte,0.9589726860399226,0.9439042364566524,1.0159639601151023,0.5254755751256217,0.8838823407066965,0.003992015968063872,1163,E14S,Hypoxic_Tumor_annot
Neutrophil,0.9685102683513735,0.9428283498704589,1.0272392302209021,0.48972069006694474,0.9583456988766722,0.34930139720558884,495,E14S,Hypoxic_Tumor_annot
C1qc_TAM,0.9728602611070537,0.9431247960871979,1.0315286642268566,0.08810981807951873,0.8399921337266467,0.001996007984031936,525,E14S,Hypoxic_Tumor_annot
Spp1_TAM,0.9923340959471725,0.9434454099905996,1.0518193055357172,0.02763787056795552,0.9346675743135919,0.3652694610778443,260,E14S,Hypoxic_Tumor_annot
CD8_exhausted,1.064736349427229,0.9433393268631971,1.1286886055813052,0.06785445121709911,0.9136438127588568,0.18762475049900199,198,E14S,Hypoxic_Tumor_annot
