cell,median_dist_to_core_E14,bg_median_dist_E14,dist_ratio_vs_bg_E14,p_dist_E14,core_neighbor_enrichment_E14,p_enrich_E14,n_E14,sample_E14,core_def_E14,median_dist_to_core_E15,bg_median_dist_E15,dist_ratio_vs_bg_E15,p_dist_E15,core_neighbor_enrichment_E15,p_enrich_E15,n_E15,sample_E15,core_def_E15
Il1b_TAM,1.6179345603551891,1.6854202551643556,0.9599591291238012,0.2585985454559965,0.8579803921568628,0.0518962075848303,850,E14S,persistent+enter_deep,0.5099642728134279,0.4697148275329413,1.0856891094792274,0.9445524431884798,0.948925485961123,0.3073852295409182,400,E15S,persistent+enter_deep
Resident_Macrophage,1.6295733002415185,1.6799017360654127,0.9700408453998202,0.5596049953670883,1.0058185404339253,0.9500998003992016,676,E14S,persistent+enter_deep,0.4853541243830329,0.4719651619903818,1.028368539610396,0.7216936530528606,0.9894049443786432,0.7325349301397206,744,E15S,persistent+enter_deep
Spp1_TAM,1.662581731802843,1.6772056934856865,0.9912807583830396,0.9581029049871788,1.0650320512820513,0.590818363273453,260,E14S,persistent+enter_deep,0.5058351899739695,0.4694499530816589,1.0775061040127136,0.2016961417229852,0.9747687765623912,0.5049900199600799,496,E15S,persistent+enter_deep
Neutrophil,1.6755947226239325,1.6767846040412089,0.9992903790895928,0.8296405283201422,0.9858922558922558,0.8842315369261478,495,E14S,persistent+enter_deep,0.3793972068305729,0.4995560391207039,0.7594687625003409,1.711386113840114e-14,1.1281374563205675,0.0019960079840319,1230,E15S,persistent+enter_deep
Monocyte,1.716779193568057,1.6653664512230897,1.03087172934654,0.5391785524412129,0.9217469188879336,0.1676646706586826,1163,E14S,persistent+enter_deep,0.4852027263640743,0.47174145182904,1.0285352802532874,0.5234265976125515,0.9084969359533986,0.0039920159680638,713,E15S,persistent+enter_deep
CD8_exhausted,1.7260948320337084,1.670442101775453,1.0333161683359775,0.1970891936384728,0.9277356902356902,0.5688622754491018,198,E14S,persistent+enter_deep,0.5460399308916638,0.4721888721517238,1.1564015229825455,0.2401269690735505,0.8711447084233263,0.3253493013972056,35,E15S,persistent+enter_deep
C1qc_TAM,1.762403867144366,1.6704153433184488,1.0550692522035705,0.2615435176007727,0.8825555555555555,0.1377245508982036,525,E14S,persistent+enter_deep,0.6325156549384406,0.4576893596600225,1.3819758785921554,1.1276233315008355e-10,0.8638369964583377,0.0019960079840319,1141,E15S,persistent+enter_deep
NK,1.818080281323184,1.670468860232457,1.0883652635525245,0.2575922363681637,0.8994400527009223,0.3712574850299401,253,E14S,persistent+enter_deep,0.4488310303274995,0.4747021200965611,0.9455003702873728,0.6848732475863564,1.1030728450814844,0.091816367265469,198,E15S,persistent+enter_deep
