type,obs,exp,enrichment,n_on_iface
T_helper,0.016985138004246284,0.0077887537993920975,2.1807260110817666,8
Hypoxic_Tumor,0.09341825902335456,0.04293313069908815,2.1759013960130016,44
Tumor,0.04246284501061571,0.02944528875379939,1.4420930073282652,20
B,0.008492569002123142,0.0060790273556231,1.3970276008492568,4
Neutrophil,0.10191082802547771,0.09403495440729483,1.083754744901242,48
Monocyte,0.22717622080679406,0.22093465045592706,1.028250753505558,107
NK,0.04670912951167728,0.048062310030395135,0.9718452875473091,22
Il1b_TAM,0.15498938428874734,0.1614741641337386,0.959840139877607,73
CD8_exhausted,0.03397027600849257,0.037613981762917935,0.903128954084368,16
Spp1_TAM,0.044585987261146494,0.04939209726443769,0.9026947574718275,21
Resident_Macrophage,0.11252653927813164,0.128419452887538,0.8762421638462794,53
cDC,0.029723991507430998,0.03419452887537994,0.8692616183062044,14
mDC,0.021231422505307854,0.03229483282674772,0.6574247533408267,10
C1qc_TAM,0.06157112526539278,0.09973404255319149,0.6173531493276716,29
Stromal,0.0021231422505307855,0.0056990881458966565,0.37254069355980185,1
