source,target,obs_frac,exp_frac,enrichment,p_perm,n_source,sample
normoxic_stable,exiting_hypoxia,0.053231939163498096,0.05310656022214509,1.0023608936603792,0.9875311720698254,263,E15S
normoxic_stable,persistent_hypoxia,0.0302915082382763,0.03031354853638783,0.9992729225321453,1.0,263,E15S
normoxic_stable,entering_hypoxia,0.051330798479087454,0.04477611940298507,1.14638783269962,0.00997506234413965,263,E15S
normoxic_stable,entering_deep_hypoxia,0.021292775665399243,0.023255813953488372,0.9155893536121674,0.26184538653366585,263,E15S
normoxic_stable,transitional,0.035234474017743975,0.031007751937984496,1.1363117870722432,0.032418952618453865,263,E15S
normoxic_stable,reverted_stable,0.015209125475285171,0.013884068031933356,1.0954372623574145,0.34413965087281795,263,E15S
exiting_hypoxia,normoxic_stable,0.030791575889615105,0.030429249103320608,1.0119071878857162,0.8079800498753117,459,E15S
exiting_hypoxia,persistent_hypoxia,0.032389251997095136,0.03031354853638783,1.0684744466064628,0.16708229426433915,459,E15S
exiting_hypoxia,entering_hypoxia,0.04618736383442266,0.04477611940298507,1.0315177923021062,0.456359102244389,459,E15S
exiting_hypoxia,entering_deep_hypoxia,0.027523602033405953,0.023255813953488372,1.183514887436456,0.0024937655860349127,459,E15S
exiting_hypoxia,transitional,0.030791575889615105,0.031007751937984496,0.9930283224400872,0.9177057356608479,459,E15S
exiting_hypoxia,reverted_stable,0.0159041394335512,0.013884068031933356,1.1454956427015253,0.05486284289276808,459,E15S
persistent_hypoxia,normoxic_stable,0.03091603053435115,0.030429249103320608,1.0159971555452356,0.7855361596009975,262,E15S
persistent_hypoxia,exiting_hypoxia,0.05750636132315522,0.05310656022214509,1.0828485423007201,0.09476309226932668,262,E15S
persistent_hypoxia,entering_hypoxia,0.04592875318066158,0.04477611940298507,1.0257421543681087,0.5935162094763092,262,E15S
persistent_hypoxia,entering_deep_hypoxia,0.026590330788804073,0.023255813953488372,1.1433842239185752,0.06234413965087282,262,E15S
persistent_hypoxia,transitional,0.03625954198473282,0.031007751937984496,1.1693702290076335,0.012468827930174564,262,E15S
persistent_hypoxia,reverted_stable,0.015521628498727735,0.013884068031933356,1.117945292620865,0.2194513715710723,262,E15S
entering_hypoxia,normoxic_stable,0.03281653746770025,0.030429249103320608,1.0784537389100124,0.11970074812967581,387,E15S
entering_hypoxia,exiting_hypoxia,0.053574504737295435,0.05310656022214509,1.00881142580489,0.8254364089775561,387,E15S
entering_hypoxia,persistent_hypoxia,0.03066322136089578,0.03031354853638783,1.0115351993214587,0.8154613466334164,387,E15S
entering_hypoxia,entering_deep_hypoxia,0.026442721791558994,0.023255813953488372,1.1370370370370368,0.04239401496259352,387,E15S
entering_hypoxia,transitional,0.03204134366925064,0.031007751937984496,1.0333333333333332,0.5511221945137157,387,E15S
entering_hypoxia,reverted_stable,0.0144702842377261,0.013884068031933356,1.0422222222222224,0.5187032418952618,387,E15S
entering_deep_hypoxia,normoxic_stable,0.026533996683250412,0.030429249103320608,0.8719898605830163,0.0798004987531172,201,E15S
entering_deep_hypoxia,exiting_hypoxia,0.062023217247097834,0.05310656022214509,1.167901234567901,0.0024937655860349127,201,E15S
entering_deep_hypoxia,persistent_hypoxia,0.0330016583747927,0.03031354853638783,1.088676844783715,0.23690773067331672,201,E15S
entering_deep_hypoxia,entering_hypoxia,0.048424543946932005,0.04477611940298507,1.0814814814814815,0.1770573566084788,201,E15S
entering_deep_hypoxia,transitional,0.031011608623548917,0.031007751937984496,1.0001243781094526,1.0,201,E15S
entering_deep_hypoxia,reverted_stable,0.016915422885572143,0.013884068031933356,1.2183333333333335,0.04239401496259352,201,E15S
transitional,normoxic_stable,0.035074626865671636,0.030429249103320608,1.1526615969581746,0.012468827930174564,268,E15S
transitional,exiting_hypoxia,0.05286069651741293,0.05310656022214509,0.9953703703703702,0.940149625935162,268,E15S
transitional,persistent_hypoxia,0.03557213930348259,0.03031354853638783,1.173473282442748,0.007481296758104738,268,E15S
transitional,entering_hypoxia,0.047512437810945274,0.04477611940298507,1.0611111111111111,0.26932668329177056,268,E15S
transitional,entering_deep_hypoxia,0.024999999999999998,0.023255813953488372,1.075,0.2967581047381546,268,E15S
transitional,reverted_stable,0.013432835820895524,0.013884068031933356,0.9675000000000001,0.7381546134663342,268,E15S
reverted_stable,normoxic_stable,0.03111111111111111,0.030429249103320608,1.0224081115335868,0.8478802992518704,120,E15S
reverted_stable,exiting_hypoxia,0.05972222222222222,0.05310656022214509,1.1245733478576614,0.10723192019950124,120,E15S
reverted_stable,persistent_hypoxia,0.03444444444444444,0.03031354853638783,1.136272264631043,0.1596009975062344,120,E15S
reverted_stable,entering_hypoxia,0.04694444444444444,0.04477611940298507,1.0484259259259259,0.5386533665835411,120,E15S
reverted_stable,entering_deep_hypoxia,0.030555555555555555,0.023255813953488372,1.3138888888888889,0.0024937655860349127,120,E15S
reverted_stable,transitional,0.03027777777777778,0.031007751937984496,0.9764583333333333,0.7955112219451371,120,E15S
