state,mean_neu_frac,global_neu_frac,enrichment,n,p_perm
normoxic_stable,0.1405576679340938,0.1423116973273169,0.9876747349222542,263,0.7605985037406484
exiting_hypoxia,0.14858387799564274,0.1423116973273169,1.0440735426962116,459,0.14214463840399003
persistent_hypoxia,0.15139949109414758,0.1423116973273169,1.0638583752249735,262,0.09975062344139651
entering_hypoxia,0.1453919035314384,0.1423116973273169,1.0216440831074975,387,0.5062344139650873
entering_deep_hypoxia,0.16815920398009948,0.1423116973273169,1.1816260162601624,201,0.0024937655860349127
transitional,0.1407960199004975,0.1423116973273169,0.9893495934959349,268,
reverted_stable,0.1527777777777778,0.1423116973273169,1.0735433604336044,120,
Hypoxic_Tumor,0.12083333333333335,0.1423116973273169,0.8490752032520326,32,0.1596009975062344
Tumor,0.12222222222222222,0.1423116973273169,0.8588346883468834,27,
Spp1_TAM,0.1373655913978495,0.1423116973273169,0.9652445580907425,496,
C1qc_TAM,0.12538708735027754,0.1423116973273169,0.8810736552589014,1141,
