type,obs,exp,enrichment,n_on_iface
Hypoxic_Tumor,0.07496823379923762,0.04293313069908815,1.7461627553946317,59
Tumor,0.045743329097839895,0.02944528875379939,1.5535024798130916,36
T_helper,0.011435832274459974,0.0077887537993920975,1.4682492949453,9
NK,0.06607369758576874,0.048062310030395135,1.3747507671600263,52
Resident_Macrophage,0.1372299872935197,0.128419452887538,1.0686074750193604,108
B,0.0063532401524777635,0.0060790273556231,1.045108005082592,5
Neutrophil,0.09783989834815757,0.09403495440729483,1.0404630806155586,77
cDC,0.03303684879288437,0.03419452887537994,0.9661442891430185,26
Monocyte,0.204574332909784,0.22093465045592706,0.9259495171428228,161
mDC,0.029224904701397714,0.03229483282674772,0.9049405785185739,23
Spp1_TAM,0.04193138500635324,0.04939209726443769,0.8489492718209364,33
Il1b_TAM,0.13595933926302414,0.1614741641337386,0.8419881904477166,107
CD8_exhausted,0.030495552731893267,0.037613981762917935,0.8107504524277078,24
C1qc_TAM,0.08005082592121983,0.09973404255319149,0.8026429479034308,63
Stromal,0.0012706480304955528,0.0056990881458966565,0.22295637441761967,1
