source,target,hit_rate,null_mean,enrichment,p_perm,radius,sample
Monocyte,Il1bpos_TAM,0.6827171109200344,0.6810203496703927,1.0024914986027407,0.9205298013245033,0.5159616291765426,E14S
Monocyte,Resident_Macrophage,0.6302665520206363,0.6127085124677559,1.0286564315585616,0.3576158940397351,0.5159616291765426,E14S
Monocyte,C1qcpos_TAM,0.5434221840068788,0.5384121524792204,1.0093051977088348,0.7152317880794702,0.5159616291765426,E14S
Monocyte,Neutrophil,0.4926913155631986,0.5203554026941818,0.9468361681501717,0.08609271523178808,0.5159616291765426,E14S
Monocyte,Spp1pos_TAM,0.32932072226999143,0.33876182287188306,0.9721305650032998,0.6158940397350994,0.5159616291765426,E14S
Monocyte,NK,0.28030954428202925,0.3308856405846947,0.8471493165635883,0.006622516556291391,0.5159616291765426,E14S
Monocyte,CD8_exhausted,0.2708512467755804,0.27646316996274,0.9797010097659087,0.7350993377483444,0.5159616291765426,E14S
Monocyte,cDC,0.2416165090283749,0.25231871596445976,0.9575845695981097,0.5298013245033113,0.5159616291765426,E14S
Monocyte,mDC,0.2235597592433362,0.24441960447119518,0.9146555969886724,0.17880794701986755,0.5159616291765426,E14S
Monocyte,entering_hypoxia,0.10834049871023216,0.12740613356262537,0.8503554395752724,0.1390728476821192,0.5159616291765426,E14S
Monocyte,exiting_hypoxia,0.14015477214101463,0.12782459157351678,1.0964617247410198,0.3841059602649007,0.5159616291765426,E14S
Il1bpos_TAM,Monocyte,0.8141176470588235,0.7635294117647059,1.066255778120185,0.006622516556291391,0.5159616291765426,E14S
Il1bpos_TAM,Resident_Macrophage,0.6447058823529411,0.6139058823529411,1.0501705568970143,0.06622516556291391,0.5159616291765426,E14S
Il1bpos_TAM,C1qcpos_TAM,0.5576470588235294,0.5415058823529412,1.0298079429912228,0.4304635761589404,0.5159616291765426,E14S
Il1bpos_TAM,Neutrophil,0.54,0.5196156862745098,1.039229596534392,0.39072847682119205,0.5159616291765426,E14S
Il1bpos_TAM,Spp1pos_TAM,0.30470588235294116,0.3403921568627451,0.8951612903225806,0.06622516556291391,0.5159616291765426,E14S
Il1bpos_TAM,NK,0.34823529411764703,0.3331137254901961,1.045394612921454,0.4370860927152318,0.5159616291765426,E14S
Il1bpos_TAM,CD8_exhausted,0.2576470588235294,0.27501176470588234,0.9368583162217659,0.3509933774834437,0.5159616291765426,E14S
Il1bpos_TAM,cDC,0.2611764705882353,0.2560156862745098,1.0201580785491084,0.7549668874172185,0.5159616291765426,E14S
Il1bpos_TAM,mDC,0.23411764705882354,0.24229019607843139,0.9662695843584099,0.7086092715231788,0.5159616291765426,E14S
