sample,query,anchor,median_dist,bg_median_dist,ratio_vs_bg,p_vs_bg,n_query,n_anchor
E14S,entering_deep,Hypoxic_Tumor,0.0,0.9469430650716166,0.0,5.4611429142516575e-12,19,226
E14S,entering,enter_front,0.0,1.2999711468098611,0.0,5.907961907728734e-66,100,100
E14S,entering_deep,enter_front,0.0,1.2999711468098611,0.0,4.8766157937044376e-14,19,100
E14S,exiting,exit_front,0.0,1.3037857211311856,0.0,5.832386799519453e-54,81,81
E14S,persistent,hypoxic_core_dyn,0.0,1.6767031373394543,0.0,5.996569833422188e-31,45,64
E14S,persistent,Hypoxic_Tumor,0.0,0.9469011911648844,0.0,1.1429939457961287e-25,45,226
E14S,entering_deep,hypoxic_core_dyn,0.0,1.6767031373394543,0.0,4.872836648711248e-14,19,64
E14S,normoxic,Tumor,0.0,1.018447624757213,0.0,1.0752910317166847e-14,20,155
E14S,C1qc_TAM,C1qc_TAM,0.0,0.4619829474791599,0.0,1.5187902220439e-310,525,525
E14S,Il1b_TAM,Il1b_TAM,0.0,0.34184710831108733,0.0,0.0,850,850
E14S,Neutrophil,Neutrophil,0.0,0.5325087742970994,0.0,1.020760041290693e-294,495,495
E14S,CD8_exh,CD8_exh,0.0,0.9324154592726023,0.0,2.547188888074723e-126,198,198
E14S,Spp1_TAM,Spp1_TAM,0.0,0.8541791972521997,0.0,2.94227897461024e-163,260,260
E15S,entering_deep,hypoxic_core_dyn,0.0,0.47321137536726965,0.0,5.376497013208258e-130,201,463
E14S,Monocyte,Monocyte,0.0,0.2785295442740556,0.0,0.0,1163,1163
E14S,NK,NK,0.0,0.8583584304133851,0.0,3.901081011969181e-159,253,253
E15S,normoxic,Tumor,0.0,0.23136349791392888,0.0,1.4591524652905825e-167,263,1418
E15S,entering,enter_front,0.0,0.4145561827236639,0.0,0.0,588,588
E15S,entering_deep,enter_front,0.0,0.4145561827236639,0.0,6.001679693762606e-130,201,588
E15S,persistent,hypoxic_core_dyn,0.0,0.47321137536726965,0.0,1.2434490179164562e-167,262,463
E15S,exiting,exit_front,0.0,0.4620158864228512,0.0,1.5929978302802497e-285,459,459
E15S,Spp1_TAM,Spp1_TAM,0.0,0.454187432960376,0.0,5.415431462871987e-307,496,496
E15S,C1qc_TAM,C1qc_TAM,0.0,0.2772151610788932,0.0,0.0,1141,1141
E15S,Il1b_TAM,Il1b_TAM,0.0,0.5761581903394367,0.0,7.234197120169445e-251,400,400
E15S,CAF,CAF,0.0,0.5584632961768868,0.0,3.680845307734776e-243,387,387
E15S,NK,NK,0.0,0.892882299878473,0.0,3.176891440623552e-128,198,198
E15S,Neutrophil,Neutrophil,0.0,0.269708190570286,0.0,0.0,1230,1230
E15S,Monocyte,Monocyte,0.0,0.36274386705107126,0.0,0.0,713,713
E15S,CD8_exh,CD8_exh,0.0,1.9867199122316883,0.0,1.5234963487752484e-24,35,35
E15S,Neutrophil,hypoxic_core_dyn,0.3793972068305729,0.4995560391207039,0.7594687625003409,1.711386113840114e-14,1230,463
E15S,Neutrophil,Hypoxic_Tumor,0.32745437500124397,0.4052349579267522,0.8080605303070438,3.2459693527042406e-11,1230,601
E14S,exiting,enter_front,1.0816311725998016,1.3032224405660346,0.8299666572116512,0.0035670173229846594,81,100
E15S,entering_deep,Neutrophil,0.22575780049450392,0.27130395822638054,0.8321212929231495,0.0007845158715025503,201,1230
E15S,Neutrophil,exit_front,0.40033661013722427,0.4760711586493045,0.8409175873477568,8.738927951581768e-08,1230,459
E14S,Il1b_TAM,Monocyte,0.24202965688309191,0.2866905783969794,0.8442190818979559,1.0835674942914526e-07,850,1163
E14S,Il1b_TAM,Neutrophil,0.46562308868604957,0.5508109791800022,0.8453409722864045,5.032549630636639e-05,850,495
E15S,Neutrophil,enter_front,0.36412996950873344,0.4257459136681753,0.8552753128537011,4.422489283568494e-07,1230,588
E15S,Neutrophil,CAF,0.4897445442446116,0.5702185920251088,0.8588715820459364,0.0027001132679583617,1230,387
E14S,Il1b_TAM,Stromal,1.952775984390848,2.2618538604318137,0.8633519691754271,3.4241520375391094e-11,850,30
E15S,Neutrophil,Monocyte,0.3211612735596553,0.3698711200699748,0.8683058939527254,0.0001713263709484956,1230,713
E14S,Il1b_TAM,CAF,3.275189069412094,3.7661375924256246,0.8696413736978394,2.296697935935781e-07,850,10
E14S,Monocyte,Il1b_TAM,0.31267308514339254,0.3554751729245321,0.8795919067174165,0.0011337099698291398,1163,850
E15S,Il1b_TAM,Spp1_TAM,0.40765496083745295,0.4574214582632104,0.8912020926724414,0.003299995801870448,400,496
E15S,Neutrophil,Il1b_TAM,0.5224301261079827,0.5857607113910739,0.8918831801936788,0.005002806598258049,1230,400
E15S,Il1b_TAM,NK,0.8140509885786176,0.8952853701406137,0.9092642588929635,0.005323666040469336,400,198
