type,obs,exp,enrichment,n_on_iface
Hypoxic_Tumor,0.0749063670411985,0.04293313069908815,1.7447217526764112,40
Stromal,0.009363295880149813,0.0056990881458966565,1.6429463171036205,5
Tumor,0.03932584269662921,0.02944528875379939,1.3355563610003625,21
T_helper,0.009363295880149813,0.0077887537993920975,1.2021558417831368,5
Spp1_TAM,0.05805243445692884,0.04939209726443769,1.175338519158744,31
cDC,0.035580524344569285,0.03419452887537994,1.0405326674989597,19
Resident_Macrophage,0.1254681647940075,0.128419452887538,0.9770183720054074,67
Monocyte,0.21348314606741572,0.22093465045592706,0.9662728124667896,114
Neutrophil,0.0898876404494382,0.09403495440729483,0.9558960390421065,48
Il1b_TAM,0.15168539325842698,0.1614741641337386,0.9393787177792465,81
C1qc_TAM,0.0898876404494382,0.09973404255319149,0.9012734082397004,48
CD8_exhausted,0.033707865168539325,0.037613981762917935,0.8961525366019747,18
mDC,0.028089887640449437,0.03229483282674772,0.8697951090548578,15
NK,0.035580524344569285,0.048062310030395135,0.7402999215407617,19
B,0.003745318352059925,0.0060790273556231,0.6161048689138577,2
