source,target,obs_frac,exp_frac,enrichment,log2_enrichment,n_source,n_target,p_perm,sample,label_space
Monocyte,Il1bpos_TAM,0.16934476245823044,0.1614741641337386,1.0487421524472058,0.06866001527262365,1163,850,0.004987531172069825,E14S,cell_type
Monocyte,Resident_Macrophage,0.1300014528548598,0.128419452887538,1.0123190056626952,0.01766398901010958,1163,676,0.5910224438902744,E14S,cell_type
Monocyte,C1qcpos_TAM,0.10254249600464914,0.09973404255319149,1.0281594266066154,0.04006398645941446,1163,525,0.1770573566084788,E14S,cell_type
Monocyte,Neutrophil,0.09135551358419294,0.09403495440729483,0.9715059060751348,-0.041705328475190095,1163,495,0.2169576059850374,E14S,cell_type
Monocyte,Spp1pos_TAM,0.0488159232892634,0.04939209726443769,0.9883346930564714,-0.016928411129156662,1163,260,0.6733167082294265,E14S,cell_type
Monocyte,NK,0.04338224611361325,0.048062310030395135,0.9026250732887753,-0.14780124032659367,1163,253,0.007481296758104738,E14S,cell_type
Monocyte,Hypoxic_Tumor,0.03847159668749092,0.04293313069908815,0.89608179187147,-0.15829767137479475,1163,226,0.0024937655860349127,E14S,cell_type
Monocyte,CD8_exhausted,0.03899462443701874,0.037613981762917935,1.0367055708912456,0.0520062203537489,1163,198,0.2793017456359102,E14S,cell_type
Monocyte,cDC,0.03620514310620369,0.03419452887537994,1.0587992961725345,0.08242914092750228,1163,180,0.06234413965087282,E14S,cell_type
Monocyte,mDC,0.03356094726136859,0.03229483282674772,1.0392048610814366,0.05548008439889308,1163,170,0.2593516209476309,E14S,cell_type
Monocyte,Tumor,0.025657416824059278,0.02944528875379939,0.8713589816893422,-0.19866089339259624,1163,155,0.0024937655860349127,E14S,cell_type
Monocyte,T_helper,0.008019758826093274,0.0077887537993920975,1.0296587917208535,0.04216633639326065,1163,41,0.6384039900249376,E14S,cell_type
Il1bpos_TAM,Monocyte,0.22840194282984314,0.22093465045592706,1.033798647511861,0.0479552199627148,850,1163,0.04738154613466334,E14S,cell_type
Il1bpos_TAM,Resident_Macrophage,0.13249462536826181,0.128419452887538,1.0317332957670564,0.04507008064287214,850,676,0.16957605985037408,E14S,cell_type
Il1bpos_TAM,C1qcpos_TAM,0.09614618998327892,0.09973404255319149,0.9640257982323434,-0.05285634004638515,850,525,0.12219451371571072,E14S,cell_type
Il1bpos_TAM,Neutrophil,0.094553706505295,0.09403495440729483,1.00551658796742,0.007936881922664731,850,495,0.8229426433915212,E14S,cell_type
Il1bpos_TAM,Spp1pos_TAM,0.04626164503543276,0.04939209726443769,0.9366203825635309,-0.0944636608399614,850,260,0.034912718204488775,E14S,cell_type
Il1bpos_TAM,NK,0.045943148339835975,0.048062310030395135,0.9559080350233067,-0.06505626726486322,850,253,0.15211970074812967,E14S,cell_type
Il1bpos_TAM,Hypoxic_Tumor,0.037821482602118005,0.04293313069908815,0.880939311582076,-0.18288546041291323,850,226,0.0024937655860349127,E14S,cell_type
Il1bpos_TAM,CD8_exhausted,0.036348435384982884,0.037613981762917935,0.9663543629623732,-0.049375771311423226,850,198,0.33915211970074816,E14S,cell_type
Il1bpos_TAM,cDC,0.033601401385460625,0.03419452887537994,0.9826543160725819,-0.02524410883852519,850,180,0.6882793017456359,E14S,cell_type
Il1bpos_TAM,mDC,0.03344215303766224,0.03229483282674772,1.0355264328838472,0.05036438031238532,850,170,0.3566084788029925,E14S,cell_type
Il1bpos_TAM,Tumor,0.025479735647742655,0.02944528875379939,0.8653246996755958,-0.2086865116029108,850,155,0.007481296758104738,E14S,cell_type
Il1bpos_TAM,T_helper,0.007564296520423601,0.0077887537993920975,0.9711818752075569,-0.042186597503171504,850,41,0.6932668329177057,E14S,cell_type
Resident_Macrophage,Monocyte,0.2205435053602593,0.22093465045592706,0.9982295891800558,-0.0025564265411948113,676,1163,0.912718204488778,E14S,cell_type
Resident_Macrophage,Il1bpos_TAM,0.1663425579655946,0.1614741641337386,1.0301496766245763,0.0428539704529694,676,850,0.22693266832917705,E14S,cell_type
Resident_Macrophage,C1qcpos_TAM,0.10516080777860883,0.09973404255319149,1.0544123659935178,0.07643919527357665,676,525,0.02743142144638404,E14S,cell_type
Resident_Macrophage,Neutrophil,0.0924956369982548,0.09403495440729483,0.9836303700178047,-0.023811815425435943,676,495,0.57356608478803,E14S,cell_type
Resident_Macrophage,Spp1pos_TAM,0.05006232859636001,0.04939209726443769,1.013569606658612,0.019445168955687722,676,260,0.6957605985037406,E14S,cell_type
Resident_Macrophage,NK,0.04542508102717527,0.048062310030395135,0.9451289586049432,-0.08141690285888917,676,253,0.09476309226932668,E14S,cell_type
Resident_Macrophage,Hypoxic_Tumor,0.04178509099975069,0.04293313069908815,0.9732598186844584,-0.03910310068246598,676,226,0.47381546134663344,E14S,cell_type
Resident_Macrophage,CD8_exhausted,0.03774619795562204,0.037613981762917935,1.003515081001992,0.0050622979394920956,676,198,0.9226932668329177,E14S,cell_type
