source,target,obs_frac,exp_frac,enrichment,p_perm,n_source,sample
CD8_exhausted,Hypoxic_Tumor,0.006666666666666667,0.003702418141848895,1.8006250000000001,0.14463840399002495,35,E15S
CD8_exhausted,NK,0.032380952380952385,0.022908712252690037,1.4134776334776338,0.06733167082294264,35,E15S
CD8_exhausted,entering_hypoxia,0.05999999999999999,0.04477611940298507,1.3399999999999999,0.04239401496259352,35,E15S
CD8_exhausted,cDC,0.009523809523809525,0.007173435149832234,1.3276497695852536,0.4239401496259352,35,E15S
CD8_exhausted,Neutrophil,0.1657142857142857,0.1423116973273169,1.1644459930313587,0.02743142144638404,35,E15S
CD8_exhausted,Il1b_TAM,0.04380952380952381,0.04628022677311119,0.9466142857142859,0.6608478802992519,35,E15S
CD8_exhausted,Spp1_TAM,0.05428571428571429,0.05738748119865787,0.9459504608294932,0.7007481296758105,35,E15S
CD8_exhausted,C1qc_TAM,0.11428571428571428,0.13201434687029967,0.8657067735069487,0.09226932668329177,35,E15S
CD8_exhausted,Monocyte,0.07047619047619048,0.0824945042230707,0.8543137647765979,0.20448877805486285,35,E15S
CD8_exhausted,exiting_hypoxia,0.04476190476190477,0.05310656022214509,0.842869592281357,0.26932668329177056,35,E15S
CD8_exhausted,persistent_hypoxia,0.021904761904761906,0.03031354853638783,0.7226063249727372,0.09476309226932668,35,E15S
CD8_exhausted,Tumor,0.0019047619047619048,0.0031239153071850054,0.6097354497354497,0.5785536159600998,35,E15S
CD8_exhausted,mDC,0.0019047619047619048,0.003933819275714451,0.4842016806722689,0.3341645885286783,35,E15S
