state,n,frac_top20_front,mean_front
entering_hypoxia,46,0.2826086956521739,0.08240588630943639
entering_deep_hypoxia,12,0.4166666666666667,0.07291865704091405
persistent_hypoxia,21,0.19047619047619047,0.07004004021813556
exiting_hypoxia,62,0.20967741935483872,0.07113323810912794
