gene,lfc_exit_minus_enter,padj,frac_ex,frac_en
Slc38a2,-0.5100725293159485,8.693085329346907e-66,0.8842315369261478,0.9692898272552783
Cd63,0.42359471321105957,6.237405392872441e-55,0.9680638722554891,0.9193857965451055
Rps4x,0.3892827033996582,1.3246081569205213e-52,0.9920159680638723,0.9596928982725528
Chka,-0.5475720167160034,2.3615677104254007e-52,0.7744510978043913,0.9040307101727447
Atp5pb,0.4788779616355896,1.922206440454142e-51,0.9600798403193613,0.8119001919385797
Rpl7,0.4096282720565796,1.9835706512265855e-51,0.9840319361277445,0.9500959692898272
Slc25a3,0.3953213691711426,2.5052438936530403e-51,0.9740518962075848,0.8982725527831094
Btf3,0.43437159061431885,3.9496344019935495e-51,0.9660678642714571,0.9078694817658349
Slc25a4,0.33557653427124023,9.01371565330812e-51,0.9740518962075848,0.9366602687140115
Rps9,0.3829371929168701,1.2031831175918553e-50,0.9880239520958084,0.9558541266794626
Ndufa4,0.4774519205093384,2.62659232224355e-50,0.9600798403193613,0.8253358925143954
Rps15a,0.357735276222229,2.8985690250009564e-50,0.9880239520958084,0.9788867562380038
Rpl10,0.3570125102996826,2.8445005289788263e-49,0.9840319361277445,0.9539347408829175
Pakap-1,-0.4959588646888733,2.8695680942764497e-49,0.7924151696606786,0.8925143953934741
Rpl15,0.3628782033920288,7.165872805646845e-49,0.998003992015968,0.9712092130518234
Cox5a,0.507118821144104,9.039820978403966e-49,0.9520958083832335,0.8119001919385797
Rps13,0.3477574586868286,1.5708538628003032e-48,0.9820359281437125,0.9596928982725528
Spcs1,0.4837626814842224,2.074867903809241e-48,0.9281437125748503,0.7216890595009597
Rbm3,0.4145001173019409,2.1098971749848605e-48,0.9620758483033932,0.8982725527831094
Prelid1,0.39809370040893555,2.60442695899227e-48,0.9660678642714571,0.8829174664107485
Ppp1r15a,-0.48968392610549927,3.4317714221471374e-48,0.8483033932135728,0.9078694817658349
Jun,-0.47771334648132324,4.873638075354864e-48,0.9421157684630739,0.9731285988483686
Pgam1,0.4132767915725708,4.9454051392546116e-48,0.9620758483033932,0.8963531669865643
Prdx1,0.3594430685043335,6.74705551902374e-48,0.9660678642714571,0.9251439539347409
Cdk4,0.46235162019729614,2.314252287451873e-47,0.936127744510978,0.7735124760076776
Rps7,0.32815825939178467,2.4698864822973507e-47,0.9880239520958084,0.9712092130518234
Gm4316,-0.4429590106010437,2.8502775971103643e-47,0.8842315369261478,0.9539347408829175
Hint1,0.3668842315673828,4.208016665442828e-47,0.9720558882235529,0.9347408829174664
Eef1b2,0.34219837188720703,5.037522288234919e-47,0.9860279441117764,0.9539347408829175
Abl2,-0.4537811279296875,5.092920415704148e-47,0.8163672654690619,0.9213051823416507
Prdx2,0.44011950492858887,1.1547621084865965e-46,0.9560878243512974,0.8483685220729367
Rpl36a,0.3908449411392212,1.6823382120637033e-46,0.9860279441117764,0.9309021113243762
Ep400,-0.38803839683532715,4.3907610598835364e-46,0.8662674650698603,0.944337811900192
Tra2a,-0.3667944073677063,6.742011731997509e-46,0.9021956087824351,0.9539347408829175
Psmb1,0.36607825756073,9.324107671819343e-46,0.9520958083832335,0.8771593090211133
Ppp1ca,0.412975549697876,9.43192637141655e-46,0.9461077844311377,0.8099808061420346
Atp5g2,0.44804394245147705,1.0244089793442144e-45,0.9680638722554891,0.8694817658349329
Oaz1,0.35614657402038574,3.30374435279353e-45,0.9600798403193613,0.9213051823416507
Psma7,0.33154869079589844,4.930883082769422e-45,0.9820359281437125,0.9366602687140115
Cox4i1,0.33672165870666504,2.366219022453649e-44,0.9800399201596807,0.9366602687140115
Myl12a,0.417521595954895,3.2502931079316554e-44,0.9520958083832335,0.8349328214971209
Slc25a5,0.4748058319091797,6.883744094476622e-44,0.9540918163672655,0.8330134357005758
Ccnl1,-0.3605521321296692,7.73815614416293e-44,0.8642714570858283,0.9232245681381958
Ppib,0.34107506275177,1.1630260225059958e-43,0.9500998003992016,0.8925143953934741
Psmb5,0.4583832621574402,2.390986686698224e-43,0.9441117764471058,0.8080614203454894
