gene,lfc_a_minus_b,mean_a,mean_b,frac_a,frac_b,pval,padj
Rps13,0.7008323669433594,2.4922280311584473,1.791395664215088,0.8677165354330708,0.8163804491413474,1.3380524063769958e-45,5.352209625507983e-42
Rps2,0.7816460132598877,3.5961556434631348,2.814509630203247,0.9559055118110236,0.9260237780713342,2.509118736537741e-45,1.0036474946150964e-41
Rbm3,0.6285408735275269,1.667725920677185,1.0391850471496582,0.8188976377952756,0.7014531043593131,2.7265134637533216e-45,1.0906053855013286e-41
Rack1,0.7444684505462646,3.02251935005188,2.2780508995056152,0.8992125984251969,0.8745046235138706,2.8278523936345966e-45,1.1311409574538387e-41
Ldha,0.6887414455413818,2.235579490661621,1.5468380451202393,0.9039370078740158,0.7992073976221928,3.0659716556058854e-45,1.2263886622423543e-41
Ankrd11,-0.6094292402267456,1.4152556657791138,2.0246849060058594,0.8283464566929134,0.904887714663144,1.2035494120680006e-44,4.814197648272002e-41
Npm1,0.71437668800354,3.461923599243164,2.747546911239624,0.9590551181102362,0.9128137384412153,1.813351370493822e-44,7.253405481975288e-41
mt-Nd4,-1.127030611038208,2.214038372039795,3.341068983078003,0.9086614173228347,0.9762219286657859,1.8421277674533075e-44,7.36851106981323e-41
Rps26,0.6293609142303467,3.2105822563171387,2.581221342086792,0.9322834645669291,0.8969616908850726,3.058661439311882e-44,1.2234645757247528e-40
Prdx1,0.6408218145370483,1.8429858684539795,1.2021640539169312,0.8362204724409449,0.7252311756935271,3.6455509226941353e-44,1.4582203690776541e-40
Fth1,0.6583409309387207,3.1254818439483643,2.4671409130096436,0.9496062992125984,0.9352708058124174,5.662964985954203e-44,2.265185994381681e-40
Gm47283,-0.6899846792221069,1.3209260702133179,2.010910749435425,0.8267716535433071,0.8890356671070013,1.0114962720530959e-43,4.045985088212383e-40
Slc25a3,0.5521875023841858,1.501758337020874,0.9495708346366882,0.8267716535433071,0.6922060766182299,1.7855112962776588e-43,7.142045185110635e-40
Rpl19,0.6979260444641113,3.6146957874298096,2.9167697429656982,0.952755905511811,0.9128137384412153,3.1250915371078512e-43,1.2500366148431404e-39
Psma7,0.5980799198150635,2.0780746936798096,1.479994773864746,0.8566929133858268,0.7688243064729194,4.010225932002197e-43,1.6040903728008788e-39
Rpl8,0.6733300685882568,3.1055498123168945,2.4322197437286377,0.9322834645669291,0.8863936591809776,9.192438184575807e-43,3.676975273830323e-39
mt-Co3,-1.1971139907836914,3.5358028411865234,4.732916831970215,0.9464566929133859,0.9920739762219286,2.185336757464216e-42,8.741347029856864e-39
Slc25a4,0.5616203546524048,1.903251051902771,1.3416306972503662,0.8283464566929134,0.7542932628797886,2.225651260705897e-42,8.902605042823588e-39
Actg1,0.6944196224212646,2.3980202674865723,1.7036006450653076,0.8944881889763779,0.8150594451783355,4.254532479147885e-42,1.701812991659154e-38
Rps14,0.6814780235290527,3.151256561279297,2.469778537750244,0.925984251968504,0.8982826948480845,9.173805203591937e-42,3.669522081436775e-38
Btf3,0.6935752630233765,1.915635585784912,1.2220603227615356,0.815748031496063,0.7199471598414795,1.1183521979318442e-41,4.473408791727377e-38
mt-Nd2,-1.1104485988616943,2.206592082977295,3.3170406818389893,0.9118110236220472,0.9801849405548216,1.1391688390734023e-41,4.5566753562936093e-38
Hint1,0.6535829305648804,2.055495500564575,1.4019125699996948,0.8330708661417323,0.7569352708058125,1.1883657758809685e-41,4.753463103523874e-38
Rps24,0.6775991916656494,3.379214286804199,2.70161509513855,0.9511811023622048,0.9233817701453104,1.4422397424376766e-41,5.768958969750707e-38
Rps16,0.7223317623138428,3.256699562072754,2.534367799758911,0.9417322834645669,0.8877146631439894,1.5814796430508466e-41,6.325918572203386e-38
Rpl17,0.7382915019989014,2.985952377319336,2.2476608753204346,0.8944881889763779,0.8784676354029062,2.1438045022556737e-41,8.575218009022695e-38
