gene,lfc_a_minus_b,mean_a,mean_b,frac_a,frac_b,pval,padj
Ifi211,0.6760453581809998,1.6350934505462646,0.9590480923652649,0.7434343434343434,0.5182370820668692,2.1671319823955247e-23,8.668527929582099e-20
Ifitm3,0.4722099304199219,3.884850263595581,3.412640333175659,0.98989898989899,0.9680851063829787,2.31513933523801e-23,9.26055734095204e-20
Mndal,0.7353225350379944,1.3075529336929321,0.5722303986549377,0.6101010101010101,0.3305471124620061,2.5055636199267587e-23,1.0022254479707034e-19
Cxcl2,-0.9745926856994629,4.474872589111328,5.449465274810791,0.9414141414141414,0.9772036474164134,4.906475119184865e-23,1.962590047673946e-19
Lst1,0.5333877801895142,1.5968314409255981,1.063443660736084,0.793939393939394,0.6329787234042553,6.2338643630235e-23,2.4935457452094e-19
Ccl5,0.4051780104637146,0.540648877620697,0.13547088205814362,0.35555555555555557,0.09270516717325228,8.317333623128418e-23,3.326933449251367e-19
Ptpn6,0.4812581241130829,0.9198294878005981,0.43857136368751526,0.6404040404040404,0.33586626139817627,1.5834707751354635e-22,6.333883100541855e-19
Fcer1g,0.45847487449645996,3.2761008739471436,2.8176259994506836,0.9838383838383838,0.9490881458966566,1.8825480330127595e-22,7.530192132051038e-19
AW112010,0.3754440248012543,0.4953373968601227,0.11989337205886841,0.3515151515151515,0.10790273556231003,1.9696284475995742e-22,7.878513790398297e-19
Psmb8,0.5508522391319275,1.4638856649398804,0.9130334258079529,0.7595959595959596,0.5577507598784195,1.1237870723955663e-21,4.495148289582265e-18
Ogfrl1,0.5301729440689087,1.59588623046875,1.0657132863998413,0.8363636363636363,0.6512158054711246,1.1643157104333874e-21,4.657262841733549e-18
Retnlg,-1.1679198741912842,1.28999924659729,2.457919120788574,0.501010101010101,0.7074468085106383,2.095580657953779e-21,8.382322631815116e-18
Slc7a11,-0.7156682014465332,1.8155789375305176,2.531247138977051,0.7878787878787878,0.9141337386018237,2.71599019917646e-21,1.086396079670584e-17
