gene,lfc_a_minus_b,pval,frac_a,frac_b,mean_a,mean_b,padj
Rps3a1,1.4211289882659912,7.746403148466827e-78,0.9939879759519038,0.9700996677740864,3.3630709648132324,2.4344992637634277,3.098561259386731e-74
Eef1a1,1.1597237586975098,3.6476864171433616e-75,1.0,0.9850498338870431,3.566969394683838,2.797370433807373,7.295372834286723e-72
Rps4x,1.4962232112884521,6.989549670652145e-73,0.9919839679358717,0.9385382059800664,3.2305994033813477,2.2630155086517334,9.319399560869527e-70
Rps9,1.4207262992858887,3.304138324915015e-72,0.9859719438877755,0.9285714285714286,3.005661725997925,2.1006531715393066,3.3041383249150154e-69
Rpl7,1.5201692581176758,4.168923614305544e-72,0.9899799599198397,0.9269102990033222,2.9562630653381348,1.9952988624572754,3.335138891444435e-69
Gapdh,1.298962116241455,1.2349289991284722e-71,0.9939879759519038,0.9651162790697675,3.4211556911468506,2.567401885986328,8.232859994189815e-69
Ppia,1.3463397026062012,5.942838962827838e-71,0.9959919839679359,0.973421926910299,3.629729747772217,2.736619710922241,3.3959079787587642e-68
Tpt1,1.1918797492980957,2.6949331132163995e-70,0.9979959919839679,0.9717607973421927,3.586195230484009,2.7950141429901123,1.3474665566081998e-67
Btf3,1.502367377281189,4.671776107995709e-70,0.9759519038076152,0.8488372093023255,2.2893526554107666,1.4183655977249146,2.0763449368869817e-67
Rps7,1.3803095817565918,3.912514780332062e-69,0.9899799599198397,0.9385382059800664,3.208782911300659,2.314793825149536,1.565005912132825e-66
Rpl5,1.2742934226989746,5.667335399320309e-69,0.9919839679358717,0.9634551495016611,3.17558217048645,2.3498826026916504,2.060849236116476e-66
Rps13,1.364354133605957,1.5655293167464184e-68,0.9879759519038076,0.9169435215946844,2.862685441970825,2.0031044483184814,5.218431055821395e-66
Eef1b2,1.2543988227844238,2.0303673352522873e-68,0.9839679358717435,0.9169435215946844,2.787407875061035,1.999809741973877,6.247284108468577e-66
Rps15a,1.4556212425231934,3.52922537340868e-67,0.9919839679358717,0.9551495016611296,3.1083760261535645,2.174388885498047,1.0083501066881943e-64
Rack1,1.3866641521453857,7.026660677319188e-67,1.0,0.9568106312292359,3.444950819015503,2.5340254306793213,1.8737761806184503e-64
Slc25a3,1.1735503673553467,9.680885367142885e-67,0.9779559118236473,0.8338870431893688,1.727510929107666,1.1155086755752563,2.4202213417857213e-64
Slc25a4,1.1371451616287231,3.986105856117627e-66,0.9759519038076152,0.8887043189368771,2.2302699089050293,1.563340663909912,9.37907260262971e-64
Rpl15,1.385678768157959,1.5833869429599433e-65,0.9979959919839679,0.9451827242524917,3.1020615100860596,2.2115859985351562,3.5186376510220966e-63
Cd63,1.442811369895935,7.744482452078005e-65,0.9679358717434869,0.8588039867109635,2.264098882675171,1.4283394813537598,1.6304173583322115e-62
Pgam1,1.278656244277954,9.04406996372513e-65,0.9679358717434869,0.8338870431893688,1.8673300743103027,1.1802018880844116,1.7367590883889107e-62
Rpl10,1.3497960567474365,9.117985214041782e-65,0.9839679358717435,0.9269102990033222,2.9749791622161865,2.115463972091675,1.7367590883889107e-62
Rpl30,1.238170862197876,2.1851288011528826e-64,0.9939879759519038,0.9518272425249169,3.144362211227417,2.3430416584014893,3.9729614566416044e-62
Rps27a,1.254441261291504,5.7707008577535635e-64,0.9979959919839679,0.9800664451827242,3.9156599044799805,3.073387622833252,9.761376060449231e-62
