gene,lfc_rev_minus_norm,padj,frac_rev,frac_norm
Cask,-0.8328572511672974,8.665400284386549e-32,0.10810810810810811,0.9471830985915493
Gm45589,-1.3093786239624023,8.866779815022128e-32,0.16216216216216217,0.9612676056338029
Dpm1,-0.739242672920227,9.107221993504156e-32,0.07432432432432433,0.8802816901408451
Ppp4r3b,-0.7191269397735596,9.467970195476515e-32,0.08108108108108109,0.897887323943662
Mipol1,-0.5474434494972229,1.1272277150523958e-31,0.0472972972972973,0.8169014084507042
mt-Co3,1.8894572257995605,1.1399855121960534e-31,0.9932432432432432,0.9964788732394366
Dennd1b,-0.6615162491798401,1.2174318996799322e-31,0.08108108108108109,0.8732394366197183
mt-Co2,1.9101862907409668,1.5067925311208223e-31,0.9797297297297297,1.0
Ccnt1,-0.49473056197166443,1.7549642693008934e-31,0.06756756756756757,0.8415492957746479
Oasl1,-0.9355965256690979,1.8066052381875165e-31,0.10810810810810811,0.8908450704225352
mt-Nd5,1.8154399394989014,2.238860609905406e-31,0.9662162162162162,0.9929577464788732
Ptpn1,-0.7301864624023438,3.0670155557446135e-31,0.08783783783783784,0.9401408450704225
mt-Nd4,1.9128007888793945,3.5549569136588477e-31,0.9594594594594594,0.9964788732394366
Wac,-0.8044445514678955,4.896588278965981e-31,0.10810810810810811,0.9436619718309859
Tshz3,-0.8509449362754822,5.8685570719089516e-31,0.08108108108108109,0.9049295774647887
Ppp1r15a,-0.7799912691116333,6.035990074600017e-31,0.08108108108108109,0.852112676056338
Pax3,-0.5653494000434875,6.626932508904843e-31,0.0472972972972973,0.8204225352112676
mt-Nd1,2.074469566345215,7.073186361465098e-31,0.972972972972973,0.9929577464788732
Slx4ip,-0.5470962524414062,7.2767244350545625e-31,0.060810810810810814,0.8309859154929577
Ppp1r12a,-1.0631799697875977,7.461648748119033e-31,0.16891891891891891,0.9788732394366197
Eya3,-0.5363126397132874,7.582623105490619e-31,0.05405405405405406,0.823943661971831
Lrba,-0.8155563473701477,7.765015101604661e-31,0.0945945945945946,0.9014084507042254
Mycbp2,-1.1056181192398071,7.847290391346814e-31,0.14189189189189189,0.9894366197183099
Gpbp1,-0.6945671439170837,7.854866075759838e-31,0.06756756756756757,0.8873239436619719
Zfx,-0.607791006565094,9.24817520871374e-31,0.08108108108108109,0.8767605633802817
Nbeal1,-0.7734476327896118,1.0863177302369875e-30,0.10810810810810811,0.954225352112676
Mapkap1,-0.6180008053779602,1.2066136223164281e-30,0.08783783783783784,0.8767605633802817
