gene,lfc_a_minus_b,pval,frac_a,frac_b,mean_a,mean_b,padj
Rps7,1.0936851501464844,2.404703783965598e-31,0.9896193771626297,0.9385382059800664,3.018951416015625,2.314793825149536,5.062534282032837e-29
Slc25a5,1.2097980976104736,3.982898715328429e-31,0.9446366782006921,0.7558139534883721,1.551777720451355,0.9586607217788696,7.965797430656859e-29
Rps15a,1.1630449295043945,6.928992683092216e-31,0.9930795847750865,0.9551495016611296,2.915571451187134,2.174388885498047,1.3198081301128032e-28
Eef1b2,1.0187270641326904,7.799857466462232e-31,0.9930795847750865,0.9169435215946844,2.634921073913574,1.999809741973877,1.356496950689084e-28
Rps3,1.1092400550842285,7.580098767081172e-31,0.9930795847750865,0.9501661129568106,2.9641635417938232,2.253303289413452,1.356496950689084e-28
Btf3,1.1663132905960083,3.558066673096155e-30,0.9584775086505191,0.8488372093023255,2.0826499462127686,1.4183655977249146,5.930111121826926e-28
Ppia,1.0376548767089844,3.770000922367505e-30,1.0,0.973421926910299,3.4220733642578125,2.736619710922241,6.0320014757880075e-28
Rpl30,0.9913837909698486,3.93206115555106e-30,0.9896193771626297,0.9518272425249169,2.9813098907470703,2.3430416584014893,6.049324854693939e-28
Rpl10,1.1004703044891357,1.6303902617831837e-29,0.9896193771626297,0.9269102990033222,2.811743974685669,2.115463972091675,2.4153929804195312e-27
Lars2,-1.6392713785171509,2.8527510400752927e-29,0.9930795847750865,0.9767441860465116,0.918464720249176,1.7386356592178345,4.07535862867899e-27
Cmss1,-1.2319320440292358,3.7871459172255853e-29,1.0,0.9916943521594684,1.5558966398239136,2.2806458473205566,5.223649541000807e-27
Rps10,1.1275947093963623,5.0454654169661033e-29,0.9965397923875432,0.9568106312292359,3.494708299636841,2.7484593391418457,6.510277957375618e-27
Rpl17,1.1759021282196045,4.967615155359823e-29,1.0,0.9451827242524917,3.1904938220977783,2.4259462356567383,6.510277957375618e-27
Rps6,0.8974809646606445,5.555767349450974e-29,0.9965397923875432,0.9651162790697675,3.150639772415161,2.5648367404937744,6.944709186813718e-27
Myl12a,0.994190514087677,7.093637303705523e-29,0.9342560553633218,0.7624584717607974,1.2682889699935913,0.825287401676178,8.598348246915786e-27
Slc25a4,0.8937767744064331,7.992026450454907e-29,0.9792387543252595,0.8887043189368771,2.0811407566070557,1.563340663909912,9.402384059358715e-27
Cox5a,1.1375741958618164,9.076586573854492e-29,0.9273356401384083,0.7475083056478405,1.5032039880752563,0.9512892961502075,1.0373241798690848e-26
Tpt1,0.8703527450561523,1.6043206287640301e-28,0.9896193771626297,0.9717607973421927,3.370222330093384,2.7950141429901123,1.782578476404478e-26
Atp5c1,1.0609769821166992,2.6263024080664317e-28,0.9480968858131488,0.7641196013289037,1.3347357511520386,0.8508248329162598,2.8392458465583045e-26
Bnip3,1.1786525249481201,5.203025676545433e-28,0.9273356401384083,0.6013289036544851,0.8433821201324463,0.46057823300361633,5.476869133205719e-26
Rpl3,0.8813376426696777,5.341064906219545e-28,0.986159169550173,0.9435215946843853,2.64823842048645,2.0952322483062744,5.478015288430303e-26
Fth1,0.9656045436859131,6.2766513205408645e-28,1.0,0.9883720930232558,3.2525737285614014,2.6194570064544678,6.276651320540864e-26
Atp5b,0.8934037685394287,1.2269966483424136e-27,0.9446366782006921,0.8538205980066446,1.5980712175369263,1.138777256011963,1.1970699008218668e-25
Rplp0,0.9562997817993164,1.3700714714472273e-27,1.0,0.9817275747508306,3.6380605697631836,2.9996371269226074,1.274485089718351e-25
mt-Nd5,-1.3157286643981934,1.3652601327670893e-27,0.9653979238754326,0.9850498338870431,1.7825978994369507,2.5885300636291504,1.274485089718351e-25
Camk1d,-1.3755383491516113,1.7480948613984735e-27,0.9792387543252595,0.9833887043189369,1.0172311067581177,1.719353437423706,1.5891771467258852e-25
Hint1,1.0199129581451416,2.7805252465780198e-27,0.986159169550173,0.8903654485049833,2.2389845848083496,1.635970115661621,2.4715779969582398e-25
Oaz1,0.9091788530349731,3.39200641873684e-27,0.9584775086505191,0.872093023255814,1.8331303596496582,1.3343138694763184,2.9495707989016e-25
Rps13,1.0177640914916992,3.533981736766115e-27,0.9792387543252595,0.9169435215946844,2.637838125228882,2.0031044483184814,3.0076440312903106e-25
Rps27a,0.9595808982849121,4.615416586943321e-27,1.0,0.9800664451827242,3.715786933898926,3.073387622833252,3.8461804891194343e-25
Ndufb8,1.0568009614944458,5.8329229733316654e-27,0.9446366782006921,0.6960132890365448,1.1552889347076416,0.7156358957290649,4.761569774148299e-25
Cox6a1,0.9730358123779297,6.4785992882613e-27,0.972318339100346,0.8205980066445183,1.8714755773544312,1.3352115154266357,5.182879430609039e-25
Cox4i1,0.9435162544250488,8.800246247256535e-27,0.986159169550173,0.8903654485049833,2.3340225219726562,1.7657126188278198,6.769420190197335e-25
Tpi1,0.8380835056304932,8.734688267274872e-27,0.986159169550173,0.8970099667774086,2.1123197078704834,1.622409701347351,6.769420190197335e-25
Rbm3,0.9874988794326782,9.720347312615358e-27,0.9550173010380623,0.8388704318936877,1.7376492023468018,1.2126444578170776,7.336111179332346e-25
Rpl15,1.0326151847839355,1.4077887794254336e-26,0.9930795847750865,0.9451827242524917,2.8697242736816406,2.2115859985351562,1.042806503278099e-24
Actg1,1.0348172187805176,2.0129658599567413e-26,0.9965397923875432,0.9219269102990033,2.554161310195923,1.9152815341949463,1.4639751708776301e-24
Prdx2,0.9682665467262268,2.1099539048951354e-26,0.9342560553633218,0.7857142857142857,1.432068943977356,0.966649055480957,1.5071099320679539e-24
Cdk4,1.0425848960876465,2.3068452151545762e-26,0.916955017301038,0.6960132890365448,1.026345133781433,0.6256062984466553,1.6188387474768954e-24
Psmb5,1.050972819328308,2.807580178534731e-26,0.9204152249134948,0.7325581395348837,1.2613952159881592,0.7980708479881287,1.9362621920929178e-24
Uqcrc2,1.0367214679718018,3.194104259314602e-26,0.8788927335640139,0.5996677740863787,0.6873434782028198,0.39325249195098877,2.1654944130946456e-24
Ndufa8,1.0809379816055298,5.1196666069568624e-26,0.889273356401384,0.6378737541528239,0.9310629963874817,0.5461944341659546,3.413111071304575e-24
Ndufa7,0.988028883934021,5.923652610902984e-26,0.9377162629757786,0.7441860465116279,1.3990604877471924,0.9315373301506042,3.8843623678052356e-24
Atp5pb,0.9974980354309082,6.643415817842385e-26,0.9446366782006921,0.7375415282392026,1.2204564809799194,0.7868379950523376,4.2860747211886354e-24
Ndufb9,1.065931797027588,7.291828552593209e-26,0.903114186851211,0.6744186046511628,1.1236538887023926,0.6889712810516357,4.629732414344895e-24
Pkm,0.6179358959197998,7.998113834920244e-26,0.9826989619377162,0.9568106312292359,2.267033576965332,1.892635464668274,4.998821146825153e-24
