gene,lfc_a_minus_b,mean_a,mean_b,frac_a,frac_b,pval,padj
Rpl13,-1.1467373371124268,3.0740134716033936,4.22075080871582,0.8945945945945946,1.0,8.32644952151627e-45,3.330579808606508e-41
Psph,-0.5702564716339111,0.20849286019802094,0.7787493467330933,0.26216216216216215,0.8037383177570093,1.1463126990516026e-44,4.5852507962064105e-41
Uchl3,-0.4535822868347168,0.1883409470319748,0.6419232487678528,0.25675675675675674,0.8193146417445483,1.6277046903547738e-44,6.510818761419095e-41
Smn1,-0.424795001745224,0.1957246959209442,0.6205196976661682,0.26216216216216215,0.7881619937694704,2.9234245471245804e-44,1.1693698188498322e-40
Rps10,-1.3228633403778076,2.019834518432617,3.342697858810425,0.7783783783783784,0.9750778816199377,3.618892961318918e-44,1.4475571845275673e-40
Got1,-0.33704835176467896,0.1495751291513443,0.48662346601486206,0.25135135135135134,0.7912772585669782,3.7734108942541315e-44,1.5093643577016526e-40
Esd,-1.0492899417877197,0.5107242465019226,1.560014247894287,0.37567567567567567,0.8629283489096573,3.899856501019509e-44,1.5599426004078036e-40
Mrto4,-0.47013622522354126,0.19044135510921478,0.6605775952339172,0.25405405405405407,0.8099688473520249,4.768719960396061e-44,1.9074879841584245e-40
Cnih1,-0.36901575326919556,0.15592044591903687,0.5249361991882324,0.24594594594594596,0.7912772585669782,5.424014470639235e-44,2.169605788255694e-40
Mrpl34,-0.5231337547302246,0.22125793993473053,0.744391679763794,0.27297297297297296,0.7819314641744548,6.831459968892838e-44,2.7325839875571353e-40
Hint1,-1.1877517700195312,0.9124036431312561,2.1001553535461426,0.5,0.9314641744548287,1.3442468962728779e-43,5.376987585091511e-40
Rraga,-0.42764806747436523,0.19314302504062653,0.6207910776138306,0.26216216216216215,0.8161993769470405,1.720222164399698e-43,6.8808886575987916e-40
Creg1,-0.461481511592865,0.15363778173923492,0.6151192784309387,0.22432432432432434,0.7850467289719626,1.7433208784128781e-43,6.973283513651512e-40
C1qbp,-0.7822912931442261,0.3504214286804199,1.132712721824646,0.327027027027027,0.8566978193146417,2.0850207486671865e-43,8.340082994668746e-40
Snhg6,-0.6032718420028687,0.26399126648902893,0.8672630786895752,0.3081081081081081,0.8348909657320872,2.1395508298235952e-43,8.558203319294381e-40
Pa2g4,-0.9960567355155945,0.6799294352531433,1.6759861707687378,0.45135135135135135,0.9065420560747663,2.862079216872647e-43,1.1448316867490588e-39
Fosl1,-0.40110498666763306,0.1621411293745041,0.5632461309432983,0.20540540540540542,0.7632398753894081,4.289461680941925e-43,1.71578467237677e-39
Aldoa,-1.06181001663208,0.7222419381141663,1.7840518951416016,0.4540540540540541,0.897196261682243,4.4915319968434686e-43,1.7966127987373875e-39
Prl2c2,-0.8657459616661072,0.16781587898731232,1.0335618257522583,0.14324324324324325,0.6728971962616822,7.218686538382473e-43,2.887474615352989e-39
Rpl8,-1.2536693811416626,1.8461638689041138,3.0998332500457764,0.727027027027027,0.9719626168224299,7.359891821755594e-43,2.943956728702238e-39
Rps21,-1.2354340553283691,2.2952823638916016,3.5307164192199707,0.8027027027027027,0.9719626168224299,7.740443380950876e-43,3.0961773523803505e-39
Aprt,-1.0718796253204346,0.6878923773765564,1.7597719430923462,0.4297297297297297,0.8878504672897196,8.799642062140834e-43,3.5198568248563335e-39
Uba52,-1.1728297472000122,1.0284544229507446,2.201284170150757,0.5216216216216216,0.9501557632398754,9.25851240646371e-43,3.703404962585484e-39
Rpl7l1,-0.44978734850883484,0.23106178641319275,0.6808491349220276,0.28378378378378377,0.8193146417445483,9.481580055542612e-43,3.792632022217045e-39
Rplp0,-1.1944217681884766,2.323564291000366,3.5179860591888428,0.8351351351351352,0.9844236760124611,1.1102629081219342e-42,4.441051632487737e-39
Tfrc,-0.4851202368736267,0.2233661562204361,0.7084863781929016,0.2702702702702703,0.8037383177570093,1.160133283698857e-42,4.640533134795428e-39
Mrpl51,-0.4265486001968384,0.20922942459583282,0.63577800989151,0.2648648648648649,0.8317757009345794,1.4605522663235947e-42,5.842209065294379e-39
Uqcrfs1,-0.4669502377510071,0.1875849813222885,0.6545352339744568,0.25405405405405407,0.7632398753894081,1.6632137915782732e-42,6.652855166313093e-39
Emg1,-0.5288529992103577,0.2639845013618469,0.7928375005722046,0.3027027027027027,0.8193146417445483,2.2227526095340407e-42,8.891010438136163e-39
Rps8,-1.1189417839050293,2.835584878921509,3.954526662826538,0.8891891891891892,1.0,2.3310488837214588e-42,9.324195534885835e-39
Emc6,-0.46701952815055847,0.18616893887519836,0.6531884670257568,0.24864864864864866,0.778816199376947,2.4980681877348826e-42,9.99227275093953e-39
Bsg,-1.032015085220337,0.588983416557312,1.620998501777649,0.3972972972972973,0.8909657320872274,2.65732928110088e-42,1.062931712440352e-38
Atp5o,-0.7985894680023193,0.433699369430542,1.2322888374328613,0.34054054054054056,0.8722741433021807,2.880340998556755e-42,1.152136399422702e-38
Sars,-0.757636308670044,0.4670118987560272,1.2246482372283936,0.3837837837837838,0.8909657320872274,2.9028185299835527e-42,1.1611274119934211e-38
Apex1,-0.39492088556289673,0.22223244607448578,0.6171533465385437,0.27297297297297296,0.7881619937694704,4.3580862240679226e-42,1.743234489627169e-38
Cyc1,-0.6458443403244019,0.3369086682796478,0.9827529788017273,0.3162162162162162,0.8348909657320872,4.559543433090183e-42,1.8238173732360733e-38
Strap,-0.3494982123374939,0.18072186410427094,0.530220091342926,0.25135135135135134,0.8068535825545171,5.115217838359975e-42,2.0460871353439898e-38
Vegfa,-0.30743393301963806,0.10903047770261765,0.4164644181728363,0.1783783783783784,0.7507788161993769,5.170903004566781e-42,2.0683612018267124e-38
Psmb5,-0.7601581811904907,0.41680729389190674,1.1769654750823975,0.35135135135135137,0.8473520249221184,5.846428857848313e-42,2.338571543139325e-38
Nip7,-0.5078859329223633,0.274898499250412,0.7827844619750977,0.3027027027027027,0.8161993769470405,6.30940736288052e-42,2.523762945152208e-38
Sdhd,-0.3405402600765228,0.09787478297948837,0.4384150505065918,0.1945945945945946,0.7227414330218068,6.498430931400886e-42,2.599372372560354e-38
Rpl22,-1.2125734090805054,1.4857293367385864,2.698302745819092,0.6648648648648648,0.9501557632398754,7.009516718436128e-42,2.803806687374451e-38
Rpl13a,-1.1019318103790283,2.0913937091827393,3.1933255195617676,0.8027027027027027,0.9781931464174455,7.187745812963438e-42,2.875098325185375e-38
Polr1d,-0.9321916699409485,0.6814963221549988,1.6136879920959473,0.46216216216216216,0.9003115264797508,8.740397645955502e-42,3.496159058382201e-38
Med8,-0.32771915197372437,0.1717086136341095,0.49942776560783386,0.24324324324324326,0.7881619937694704,8.93638551806792e-42,3.574554207227168e-38
Sod2,-0.41046416759490967,0.22820855677127838,0.6386727094650269,0.27297297297297296,0.8037383177570093,1.0352240870805809e-41,4.1408963483223235e-38
Grpel1,-0.4523429274559021,0.22614900767803192,0.6784919500350952,0.2945945945945946,0.8130841121495327,1.0358740151739002e-41,4.1434960606956004e-38
Rpl15,-1.2480788230895996,1.4658231735229492,2.713901996612549,0.6567567567567567,0.9501557632398754,1.0777560263390534e-41,4.3110241053562136e-38
Prelid3b,-0.4310857653617859,0.2396308034658432,0.6707165837287903,0.28378378378378377,0.8193146417445483,1.4217247923237832e-41,5.686899169295133e-38
Mrps18a,-0.3796865940093994,0.17707519233226776,0.5567618012428284,0.24324324324324326,0.7819314641744548,1.6316912486588047e-41,6.526764994635219e-38
Rps7,-1.228760838508606,1.6756454706192017,2.9044063091278076,0.7108108108108108,0.9626168224299065,1.6902064770907062e-41,6.760825908362825e-38
Rpsa,-1.1099579334259033,2.1572413444519043,3.2671992778778076,0.7945945945945946,0.9719626168224299,1.9668797007523678e-41,7.867518803009471e-38
Fau,-1.10056734085083,2.419384002685547,3.519951343536377,0.8297297297297297,0.9813084112149533,2.2984163151007036e-41,9.193665260402814e-38
Rpl21,-1.1159391403198242,2.345928907394409,3.4618680477142334,0.8243243243243243,0.9781931464174455,2.9628380133916643e-41,1.1851352053566658e-37
Bcas2,-0.3945879340171814,0.22618955373764038,0.6207774877548218,0.26756756756756755,0.794392523364486,3.1475433632540936e-41,1.2590173453016374e-37
Eef1g,-1.0867375135421753,1.098927617073059,2.1856651306152344,0.5837837837837838,0.9345794392523364,3.243277575676081e-41,1.2973110302704323e-37
Btf3,-1.128871202468872,0.8229696154594421,1.9518407583236694,0.4891891891891892,0.9003115264797508,3.7122362408434636e-41,1.4848944963373854e-37
Cks1b,-0.5707972049713135,0.31089451909065247,0.8816916942596436,0.3081081081081081,0.8442367601246106,4.696720332402609e-41,1.8786881329610434e-37
Phf5a,-0.4321354627609253,0.19216936826705933,0.6243048310279846,0.2702702702702703,0.7912772585669782,4.864362651441122e-41,1.945745060576449e-37
Sbds,-0.5268819332122803,0.2761513888835907,0.8030333518981934,0.2945945945945946,0.838006230529595,5.291237638214672e-41,2.116495055285869e-37
Snrpb,-0.7918955087661743,0.5014457702636719,1.2933412790298462,0.3675675675675676,0.8629283489096573,5.540343014076283e-41,2.2161372056305133e-37
Rps2,-1.1692967414855957,2.405735731124878,3.5750324726104736,0.8405405405405405,0.9781931464174455,5.943698952915424e-41,2.37747958116617e-37
Smndc1,-0.3929581046104431,0.20008496940135956,0.5930430889129639,0.2756756756756757,0.822429906542056,6.542171241930335e-41,2.616868496772134e-37
Rpl10a,-1.153026819229126,1.650658369064331,2.803685188293457,0.7108108108108108,0.9532710280373832,6.766059665995789e-41,2.706423866398316e-37
Timm8a1,-0.4720712900161743,0.18255837261676788,0.654629647731781,0.26216216216216215,0.7725856697819314,7.319429660640513e-41,2.927771864256205e-37
Tma16,-0.4713239073753357,0.22666828334331512,0.697992205619812,0.2810810810810811,0.822429906542056,7.370814151012748e-41,2.9483256604050992e-37
Snhg8,-0.6206715106964111,0.33949267864227295,0.9601641893386841,0.33513513513513515,0.8411214953271028,8.304512238401546e-41,3.321804895360618e-37
Ier3,-0.9938949346542358,0.5131436586380005,1.5070385932922363,0.3810810810810811,0.8847352024922118,8.364275693462341e-41,3.3457102773849363e-37
Tomm5,-0.5813125967979431,0.2732551693916321,0.8545677661895752,0.2918918918918919,0.794392523364486,9.600097352330756e-41,3.840038940932302e-37
Pgd,-0.41088512539863586,0.2056916058063507,0.6165767312049866,0.2756756756756757,0.8130841121495327,1.0487305253436088e-40,4.194922101374435e-37
Rpl11,-1.213322639465332,1.8500142097473145,3.0633368492126465,0.7189189189189189,0.9719626168224299,1.4078775634877676e-40,5.631510253951071e-37
Mrps14,-0.43321284651756287,0.1853255331516266,0.6185383796691895,0.24864864864864866,0.7850467289719626,1.4254992556721298e-40,5.701997022688519e-37
