gene,lfc_a_minus_b,mean_a,mean_b,frac_a,frac_b,pval,padj
Frmd4a,-0.295046865940094,0.14522217214107513,0.4402690529823303,0.0950920245398773,0.24453280318091453,5.278815487390289e-09,1.9489386779444944e-05
Cd44,-0.37565019726753235,0.25753679871559143,0.6331869959831238,0.16257668711656442,0.3558648111332008,5.3848637281945086e-09,1.9880916884494126e-05
Cd74,0.20138920843601227,0.27257245779037476,0.07118324935436249,0.18711656441717792,0.03777335984095427,5.477212147313703e-09,2.022186724788219e-05
Nfkb1,-0.29493463039398193,0.12634573876857758,0.4212803840637207,0.09815950920245399,0.2524850894632207,8.40725158066659e-09,3.1039572835821054e-05
Cd52,0.3203486204147339,0.4723082482814789,0.1519596427679062,0.2791411042944785,0.10934393638170974,9.599470468673854e-09,3.544124497034387e-05
Brinp3,-0.34056356549263,0.306029349565506,0.646592915058136,0.147239263803681,0.3121272365805169,1.036789452846362e-08,3.827826659908769e-05
Col6a1,-0.2363002896308899,0.17703032493591309,0.413330614566803,0.0950920245398773,0.23658051689860835,1.3814590961316345e-08,5.100346982917994e-05
mt-Nd4l,0.41048240661621094,3.2033722400665283,2.7928898334503174,0.7791411042944786,0.7972166998011928,1.576922996964238e-08,5.821999704791967e-05
H2-Ab1,0.1321241408586502,0.14275594055652618,0.0106318024918437,0.1165644171779141,0.009940357852882704,1.6458836020298638e-08,6.076602258694257e-05
Etv6,-0.3011336922645569,0.14986594021320343,0.4509996473789215,0.10122699386503067,0.268389662027833,1.7230426124580083e-08,6.361473325194967e-05
Utrn,-0.35626253485679626,0.2878420054912567,0.644104540348053,0.1411042944785276,0.341948310139165,1.9650414998669745e-08,7.25493321750887e-05
Flnb,-0.25812819600105286,0.14108076691627502,0.3992089629173279,0.07975460122699386,0.23658051689860835,2.616615732507786e-08,9.660545284418746e-05
H2-Aa,0.1397218108177185,0.15567860007286072,0.015956789255142212,0.11349693251533742,0.011928429423459244,3.010629411364922e-08,0.00011115243786759293
Dyrk1a,-0.20606854557991028,0.0520782545208931,0.2581467926502228,0.03374233128834356,0.16500994035785288,3.6575721257872196e-08,0.00013503756288406414
Sh3d19,-0.3522651791572571,0.2208900898694992,0.5731552839279175,0.15337423312883436,0.3220675944333996,3.7279985026846265e-08,0.00013763770471911642
Arhgap22,-0.2951291799545288,0.1535920947790146,0.4487212598323822,0.10429447852760736,0.2624254473161034,8.098146543830275e-08,0.00029898357039821375
Taok1,-0.2544476091861725,0.18647164106369019,0.44091925024986267,0.13803680981595093,0.2624254473161034,8.522316022148278e-08,0.0003146439075377144
