gene,lfc_a_minus_b,pval,frac_a,frac_b,mean_a,mean_b,padj
Rsbn1,0.8467593193054199,3.5756448662619466e-13,0.8788927335640139,0.8076152304609219,0.6238516569137573,0.3931094706058502,9.180858261838079e-10
Atp5md,-0.3843492269515991,4.59042913091904e-13,0.9204152249134948,0.9458917835671342,1.2083617448806763,1.4023571014404297,9.180858261838079e-10
Slc38a2,0.5848584175109863,1.2572942943614719e-11,0.9446366782006921,0.8917835671342685,1.0534263849258423,0.8087334632873535,1.6763923924819625e-08
Slc2a1,0.6892168521881104,2.4650494620095934e-11,0.8996539792387543,0.8196392785571143,0.5663177371025085,0.38692161440849304,2.4650494620095934e-08
Ppp1r15a,0.7105680704116821,3.9091767508837145e-11,0.9100346020761245,0.8537074148296593,0.8541220426559448,0.6013258099555969,3.127341400706972e-08
Neat1,0.942781925201416,1.6153611191957434e-10,0.8823529411764706,0.7735470941883767,0.6541832089424133,0.39235827326774597,1.0769074127971623e-07
Emp3,-0.4205780029296875,3.0310452636645803e-10,0.8996539792387543,0.9298597194388778,1.019959568977356,1.215863823890686,1.7320258649511887e-07
Atp5j2,-0.28324007987976074,9.524509922062357e-10,0.9653979238754326,0.9639278557114228,1.6417200565338135,1.802918553352356,4.7622549610311783e-07
Clcn3,0.5681025385856628,1.5860055989569482e-09,0.9065743944636678,0.8537074148296593,0.6799390316009521,0.5048896074295044,7.048913773141992e-07
Chka,0.791756272315979,1.938876861522156e-09,0.8581314878892734,0.781563126252505,0.5936753153800964,0.3840733766555786,7.755507446088624e-07
Flnb,0.6696109771728516,2.245146436870954e-09,0.8927335640138409,0.8496993987975952,0.6969078779220581,0.4906720817089081,8.164168861348924e-07
Ier3,0.7204793691635132,2.9732879197597628e-09,0.9653979238754326,0.9338677354709419,1.633858323097229,1.2535051107406616,9.910959732532542e-07
Rpl23,-0.2441391944885254,6.2355327164554045e-09,1.0,0.9939879759519038,3.6636300086975098,3.82885479927063,1.9186254512170474e-06
Bnip3,0.5189401507377625,8.319945371818721e-09,0.9273356401384083,0.87374749498998,0.8433821201324463,0.6544835567474365,2.3771272490910634e-06
Lonp1,0.49061277508735657,1.1064386943026383e-08,0.916955017301038,0.8917835671342685,0.6763150691986084,0.5235228538513184,2.6033851630650314e-06
Rbm39,0.3139207363128662,1.091595945286954e-08,0.9930795847750865,0.9679358717434869,1.9931460618972778,1.808139681816101,2.6033851630650314e-06
Rpl41,-0.3126869201660156,1.0928573783712454e-08,1.0,1.0,3.452874183654785,3.6634249687194824,2.6033851630650314e-06
Ndufc1,-0.35321879386901855,1.1728402912099874e-08,0.8788927335640139,0.9238476953907816,0.7040699124336243,0.8352828621864319,2.6063117582444165e-06
Sqstm1,0.3729526996612549,1.3409570014930454e-08,0.9826989619377162,0.9779559118236473,1.9976412057876587,1.778368353843689,2.823067371564306e-06
Fnbp4,0.498396098613739,1.462594993483429e-08,0.9411764705882353,0.875751503006012,0.7611945271492004,0.591992974281311,2.925189986966858e-06
Ndrg1,0.6664685010910034,1.7844360881022748e-08,0.8581314878892734,0.7935871743486974,0.69249427318573,0.4881041944026947,3.398925882099571e-06
Ahnak,0.4940289258956909,1.893098516593924e-08,0.9757785467128027,0.9498997995991983,1.6686986684799194,1.400420069694519,3.441997302898044e-06
Sumo2,-0.358234167098999,2.1301874753446412e-08,0.9238754325259516,0.9619238476953907,1.3393688201904297,1.5283403396606445,3.6036193708642153e-06
Pfkp,0.4541630148887634,2.1621716225185293e-08,0.889273356401384,0.8577154308617234,0.5578219890594482,0.43512800335884094,3.6036193708642153e-06
Uqcrb,-0.3798283338546753,2.268122403726997e-08,0.9134948096885813,0.9498997995991983,1.3077994585037231,1.5064386129379272,3.628995845963195e-06
Nktr,0.4782222509384155,4.0544795397950605e-08,0.9446366782006921,0.8957915831663327,0.8907956480979919,0.7088315486907959,5.842375434473458e-06
Abl2,0.5462831258773804,3.859537987294588e-08,0.8823529411764706,0.8216432865731463,0.5541527271270752,0.4101592004299164,5.842375434473458e-06
